Well,Content,Raw Data (600),
A01,Sample X1,0.463,
A02,Sample X2,0.465,
A03,Sample X3,0.119,
A04,Sample X4,0.134,
A05,Sample X5,0.129,
A06,Sample X6,0.114,
A07,Sample X7,0.131,
A08,Sample X8,0.135,
A09,Sample X9,0.126,
A10,Sample X10,0.127,
A11,Sample X11,0.122,
A12,Sample X12,0.134,
A13,Sample X13,0.133,
A14,Sample X14,0.128,
A15,Sample X15,0.120,
A16,Sample X16,0.159,
A17,Sample X17,0.139,
A18,Sample X18,0.119,
A19,Sample X19,0.129,
A20,Sample X20,0.135,
A21,Sample X21,0.140,
A22,Sample X22,0.120,
A23,Sample X23,0.441,
A24,Sample X24,0.448,
B01,Sample X25,0.444,
B02,Sample X26,0.416,
B03,Sample X27,0.123,
B04,Sample X28,0.107,
B05,Sample X29,0.102,
B06,Sample X30,0.111,
B07,Sample X31,0.133,
B08,Sample X32,0.119,
B09,Sample X33,0.146,
B10,Sample X34,0.126,
B11,Sample X35,0.138,
B12,Sample X36,0.119,
B13,Sample X37,0.130,
B14,Sample X38,0.123,
B15,Sample X39,0.137,
B16,Sample X40,0.112,
B17,Sample X41,0.119,
B18,Sample X42,0.127,
B19,Sample X43,0.118,
B20,Sample X44,0.113,
B21,Sample X45,0.115,
B22,Sample X46,0.118,
B23,Sample X47,0.506,
B24,Sample X48,0.199,
C01,Sample X49,0.454,
C02,Sample X50,0.421,
C03,Sample X51,0.092,
C04,Sample X52,0.131,
C05,Sample X53,0.098,
C06,Sample X54,0.112,
C07,Sample X55,0.122,
C08,Sample X56,0.112,
C09,Sample X57,0.125,
C10,Sample X58,0.099,
C11,Sample X59,0.121,
C12,Sample X60,0.115,
C13,Sample X61,0.106,
C14,Sample X62,0.106,
C15,Sample X63,0.108,
C16,Sample X64,0.113,
C17,Sample X65,0.114,
C18,Sample X66,0.103,
C19,Sample X67,0.120,
C20,Sample X68,0.102,
C21,Sample X69,0.102,
C22,Sample X70,0.106,
C23,Sample X71,0.395,
C24,Sample X72,0.404,
D01,Sample X73,0.416,
D02,Sample X74,0.344,
D03,Sample X75,0.103,
D04,Sample X76,0.107,
D05,Sample X77,0.116,
D06,Sample X78,0.098,
D07,Sample X79,0.119,
D08,Sample X80,0.118,
D09,Sample X81,0.169,
D10,Sample X82,0.109,
D11,Sample X83,0.111,
D12,Sample X84,0.107,
D13,Sample X85,0.107,
D14,Sample X86,0.110,
D15,Sample X87,0.111,
D16,Sample X88,0.111,
D17,Sample X89,0.155,
D18,Sample X90,0.112,
D19,Sample X91,0.100,
D20,Sample X92,0.108,
D21,Sample X93,0.113,
D22,Sample X94,0.120,
D23,Sample X95,0.363,
D24,Sample X96,0.443,
E01,Sample X97,0.493,
E02,Sample X98,0.579,
E03,Sample X99,0.119,
E04,Sample X100,0.165,
E05,Sample X101,0.114,
E06,Sample X102,0.116,
E07,Sample X103,0.118,
E08,Sample X104,0.107,
E09,Sample X105,0.107,
E10,Sample X106,0.118,
E11,Sample X107,0.111,
E12,Sample X108,0.110,
E13,Sample X109,0.107,
E14,Sample X110,0.121,
E15,Sample X111,0.115,
E16,Sample X112,0.108,
E17,Sample X113,0.113,
E18,Sample X114,0.113,
E19,Sample X115,0.103,
E20,Sample X116,0.106,
E21,Sample X117,0.121,
E22,Sample X118,0.109,
E23,Sample X119,0.373,
E24,Sample X120,0.471,
F01,Sample X121,0.450,
F02,Sample X122,0.419,
F03,Sample X123,0.107,
F04,Sample X124,0.126,
F05,Sample X125,0.116,
F06,Sample X126,0.115,
F07,Sample X127,0.110,
F08,Sample X128,0.124,
F09,Sample X129,0.116,
F10,Sample X130,0.105,
F11,Sample X131,0.103,
F12,Sample X132,0.102,
F13,Sample X133,0.111,
F14,Sample X134,0.123,
F15,Sample X135,0.117,
F16,Sample X136,0.108,
F17,Sample X137,0.113,
F18,Sample X138,0.114,
F19,Sample X139,0.107,
F20,Sample X140,0.117,
F21,Sample X141,0.121,
F22,Sample X142,0.110,
F23,Sample X143,0.383,
F24,Sample X144,0.431,
G01,Sample X145,0.448,
G02,Sample X146,0.381,
G03,Sample X147,0.120,
G04,Sample X148,0.127,
G05,Sample X149,0.110,
G06,Sample X150,0.133,
G07,Sample X151,0.111,
G08,Sample X152,0.115,
G09,Sample X153,0.099,
G10,Sample X154,0.102,
G11,Sample X155,0.100,
G12,Sample X156,0.106,
G13,Sample X157,0.089,
G14,Sample X158,0.101,
G15,Sample X159,0.090,
G16,Sample X160,0.112,
G17,Sample X161,0.109,
G18,Sample X162,0.107,
G19,Sample X163,0.116,
G20,Sample X164,0.116,
G21,Sample X165,0.110,
G22,Sample X166,0.107,
G23,Sample X167,0.396,
G24,Sample X168,0.448,
H01,Sample X169,0.445,
H02,Sample X170,0.379,
H03,Sample X171,0.113,
H04,Sample X172,0.117,
H05,Sample X173,0.113,
H06,Sample X174,0.111,
H07,Sample X175,0.117,
H08,Sample X176,0.120,
H09,Sample X177,0.117,
H10,Sample X178,0.116,
H11,Sample X179,0.106,
H12,Sample X180,0.115,
H13,Sample X181,0.103,
H14,Sample X182,0.120,
H15,Sample X183,0.105,
H16,Sample X184,0.127,
H17,Sample X185,0.112,
H18,Sample X186,0.106,
H19,Sample X187,0.103,
H20,Sample X188,0.102,
H21,Sample X189,0.109,
H22,Sample X190,0.110,
H23,Sample X191,0.406,
H24,Sample X192,0.438,
I01,Sample X193,0.488,
I02,Sample X194,0.445,
I03,Sample X195,0.118,
I04,Sample X196,0.107,
I05,Sample X197,0.110,
I06,Sample X198,0.103,
I07,Sample X199,0.098,
I08,Sample X200,0.103,
I09,Sample X201,0.095,
I10,Sample X202,0.102,
I11,Sample X203,0.102,
I12,Sample X204,0.107,
I13,Sample X205,0.112,
I14,Sample X206,0.111,
I15,Sample X207,0.107,
I16,Sample X208,0.113,
I17,Sample X209,0.111,
I18,Sample X210,0.107,
I19,Sample X211,0.103,
I20,Sample X212,0.106,
I21,Sample X213,0.109,
I22,Sample X214,0.103,
I23,Sample X215,0.200,
I24,Sample X216,0.432,
J01,Sample X217,0.425,
J02,Sample X218,0.429,
J03,Sample X219,0.101,
J04,Sample X220,0.107,
J05,Sample X221,0.111,
J06,Sample X222,0.121,
J07,Sample X223,0.105,
J08,Sample X224,0.111,
J09,Sample X225,0.114,
J10,Sample X226,0.111,
J11,Sample X227,0.107,
J12,Sample X228,0.123,
J13,Sample X229,0.102,
J14,Sample X230,0.107,
J15,Sample X231,0.120,
J16,Sample X232,0.120,
J17,Sample X233,0.105,
J18,Sample X234,0.110,
J19,Sample X235,0.112,
J20,Sample X236,0.117,
J21,Sample X237,0.108,
J22,Sample X238,0.111,
J23,Sample X239,0.507,
J24,Sample X240,0.493,
K01,Sample X241,0.420,
K02,Sample X242,0.390,
K03,Sample X243,0.101,
K04,Sample X244,0.103,
K05,Sample X245,0.108,
K06,Sample X246,0.110,
K07,Sample X247,0.109,
K08,Sample X248,0.108,
K09,Sample X249,0.103,
K10,Sample X250,0.109,
K11,Sample X251,0.105,
K12,Sample X252,0.104,
K13,Sample X253,0.107,
K14,Sample X254,0.104,
K15,Sample X255,0.105,
K16,Sample X256,0.109,
K17,Sample X257,0.110,
K18,Sample X258,0.115,
K19,Sample X259,0.102,
K20,Sample X260,0.117,
K21,Sample X261,0.109,
K22,Sample X262,0.111,
K23,Sample X263,0.433,
K24,Sample X264,0.478,
L01,Sample X265,0.472,
L02,Sample X266,0.452,
L03,Sample X267,0.111,
L04,Sample X268,0.108,
L05,Sample X269,0.111,
L06,Sample X270,0.105,
L07,Sample X271,0.118,
L08,Sample X272,0.113,
L09,Sample X273,0.115,
L10,Sample X274,0.111,
L11,Sample X275,0.115,
L12,Sample X276,0.106,
L13,Sample X277,0.110,
L14,Sample X278,0.113,
L15,Sample X279,0.126,
L16,Sample X280,0.113,
L17,Sample X281,0.106,
L18,Sample X282,0.112,
