Well,Content,Raw Data (600),
A01,Sample X1,1.768,
A02,Sample X2,1.827,
A03,Sample X3,0.253,
A04,Sample X4,0.282,
A05,Sample X5,0.275,
A06,Sample X6,0.240,
A07,Sample X7,0.280,
A08,Sample X8,0.290,
A09,Sample X9,0.270,
A10,Sample X10,0.272,
A11,Sample X11,0.261,
A12,Sample X12,0.256,
A13,Sample X13,0.271,
A14,Sample X14,0.274,
A15,Sample X15,0.243,
A16,Sample X16,0.356,
A17,Sample X17,0.304,
A18,Sample X18,0.260,
A19,Sample X19,0.288,
A20,Sample X20,0.291,
A21,Sample X21,0.324,
A22,Sample X22,0.252,
A23,Sample X23,1.790,
A24,Sample X24,1.737,
B01,Sample X25,1.812,
B02,Sample X26,1.802,
B03,Sample X27,0.271,
B04,Sample X28,0.222,
B05,Sample X29,0.214,
B06,Sample X30,0.237,
B07,Sample X31,0.294,
B08,Sample X32,0.252,
B09,Sample X33,0.276,
B10,Sample X34,0.282,
B11,Sample X35,0.316,
B12,Sample X36,0.253,
B13,Sample X37,0.283,
B14,Sample X38,0.269,
B15,Sample X39,0.299,
B16,Sample X40,0.240,
B17,Sample X41,0.258,
B18,Sample X42,0.273,
B19,Sample X43,0.254,
B20,Sample X44,0.239,
B21,Sample X45,0.244,
B22,Sample X46,0.258,
B23,Sample X47,1.645,
B24,Sample X48,1.796,
C01,Sample X49,1.770,
C02,Sample X50,1.971,
C03,Sample X51,0.200,
C04,Sample X52,0.297,
C05,Sample X53,0.214,
C06,Sample X54,0.233,
C07,Sample X55,0.274,
C08,Sample X56,0.254,
C09,Sample X57,0.251,
C10,Sample X58,0.210,
C11,Sample X59,0.273,
C12,Sample X60,0.246,
C13,Sample X61,0.224,
C14,Sample X62,0.223,
C15,Sample X63,0.230,
C16,Sample X64,0.242,
C17,Sample X65,0.243,
C18,Sample X66,0.213,
C19,Sample X67,0.261,
C20,Sample X68,0.213,
C21,Sample X69,0.214,
C22,Sample X70,0.214,
C23,Sample X71,1.778,
C24,Sample X72,1.411,
D01,Sample X73,1.629,
D02,Sample X74,1.756,
D03,Sample X75,0.233,
D04,Sample X76,0.234,
D05,Sample X77,0.256,
D06,Sample X78,0.211,
D07,Sample X79,0.257,
D08,Sample X80,0.246,
D09,Sample X81,0.317,
D10,Sample X82,0.231,
D11,Sample X83,0.244,
D12,Sample X84,0.221,
D13,Sample X85,0.223,
D14,Sample X86,0.236,
D15,Sample X87,0.238,
D16,Sample X88,0.236,
D17,Sample X89,0.283,
D18,Sample X90,0.243,
D19,Sample X91,0.210,
D20,Sample X92,0.228,
D21,Sample X93,0.249,
D22,Sample X94,0.262,
D23,Sample X95,1.712,
D24,Sample X96,1.787,
E01,Sample X97,1.847,
E02,Sample X98,0.808,
E03,Sample X99,0.266,
E04,Sample X100,0.360,
E05,Sample X101,0.245,
E06,Sample X102,0.239,
E07,Sample X103,0.257,
E08,Sample X104,0.229,
E09,Sample X105,0.217,
E10,Sample X106,0.243,
E11,Sample X107,0.234,
E12,Sample X108,0.230,
E13,Sample X109,0.225,
E14,Sample X110,0.242,
E15,Sample X111,0.253,
E16,Sample X112,0.235,
E17,Sample X113,0.241,
E18,Sample X114,0.240,
E19,Sample X115,0.235,
E20,Sample X116,0.227,
E21,Sample X117,0.238,
E22,Sample X118,0.228,
E23,Sample X119,1.721,
E24,Sample X120,1.834,
F01,Sample X121,1.802,
F02,Sample X122,1.053,
F03,Sample X123,0.245,
F04,Sample X124,0.280,
F05,Sample X125,0.253,
F06,Sample X126,0.234,
F07,Sample X127,0.232,
F08,Sample X128,0.291,
F09,Sample X129,0.248,
F10,Sample X130,0.208,
F11,Sample X131,0.213,
F12,Sample X132,0.218,
F13,Sample X133,0.238,
F14,Sample X134,0.256,
F15,Sample X135,0.231,
F16,Sample X136,0.234,
F17,Sample X137,0.248,
F18,Sample X138,0.236,
F19,Sample X139,0.219,
F20,Sample X140,0.251,
F21,Sample X141,0.256,
F22,Sample X142,0.216,
F23,Sample X143,1.708,
F24,Sample X144,1.781,
G01,Sample X145,2.201,
G02,Sample X146,1.303,
G03,Sample X147,0.259,
G04,Sample X148,0.273,
G05,Sample X149,0.236,
G06,Sample X150,0.288,
G07,Sample X151,0.236,
G08,Sample X152,0.245,
G09,Sample X153,0.196,
G10,Sample X154,0.197,
G11,Sample X155,0.202,
G12,Sample X156,0.220,
G13,Sample X157,0.185,
G14,Sample X158,0.207,
G15,Sample X159,0.101,
G16,Sample X160,0.229,
G17,Sample X161,0.219,
G18,Sample X162,0.225,
G19,Sample X163,0.231,
G20,Sample X164,0.235,
G21,Sample X165,0.222,
G22,Sample X166,0.214,
G23,Sample X167,1.752,
G24,Sample X168,1.787,
H01,Sample X169,1.953,
H02,Sample X170,1.810,
H03,Sample X171,0.247,
H04,Sample X172,0.248,
H05,Sample X173,0.243,
H06,Sample X174,0.242,
H07,Sample X175,0.245,
H08,Sample X176,0.254,
H09,Sample X177,0.256,
H10,Sample X178,0.252,
H11,Sample X179,0.216,
H12,Sample X180,0.243,
H13,Sample X181,0.213,
H14,Sample X182,0.256,
H15,Sample X183,0.752,
H16,Sample X184,0.278,
H17,Sample X185,0.232,
H18,Sample X186,0.227,
H19,Sample X187,0.207,
H20,Sample X188,0.204,
H21,Sample X189,0.232,
H22,Sample X190,0.228,
H23,Sample X191,1.753,
H24,Sample X192,1.790,
I01,Sample X193,1.788,
I02,Sample X194,1.807,
I03,Sample X195,0.257,
I04,Sample X196,0.229,
I05,Sample X197,0.236,
I06,Sample X198,0.213,
I07,Sample X199,0.200,
I08,Sample X200,0.216,
I09,Sample X201,0.192,
I10,Sample X202,0.220,
I11,Sample X203,0.207,
I12,Sample X204,0.223,
I13,Sample X205,0.223,
I14,Sample X206,0.214,
I15,Sample X207,0.213,
I16,Sample X208,0.230,
I17,Sample X209,0.240,
I18,Sample X210,0.227,
I19,Sample X211,0.206,
I20,Sample X212,0.218,
I21,Sample X213,0.224,
I22,Sample X214,0.209,
I23,Sample X215,1.195,
I24,Sample X216,1.752,
J01,Sample X217,1.789,
J02,Sample X218,1.775,
J03,Sample X219,0.215,
J04,Sample X220,0.220,
J05,Sample X221,0.239,
J06,Sample X222,0.249,
J07,Sample X223,0.224,
J08,Sample X224,0.231,
J09,Sample X225,0.248,
J10,Sample X226,0.252,
J11,Sample X227,0.221,
J12,Sample X228,0.250,
J13,Sample X229,0.218,
J14,Sample X230,0.227,
J15,Sample X231,0.260,
J16,Sample X232,0.252,
J17,Sample X233,0.223,
J18,Sample X234,0.236,
J19,Sample X235,0.228,
J20,Sample X236,0.239,
J21,Sample X237,0.230,
J22,Sample X238,0.233,
J23,Sample X239,1.846,
J24,Sample X240,1.772,
K01,Sample X241,1.914,
K02,Sample X242,1.528,
K03,Sample X243,0.209,
K04,Sample X244,0.203,
K05,Sample X245,0.224,
K06,Sample X246,0.230,
K07,Sample X247,0.214,
K08,Sample X248,0.218,
K09,Sample X249,0.212,
K10,Sample X250,0.237,
K11,Sample X251,0.215,
K12,Sample X252,0.203,
K13,Sample X253,0.216,
K14,Sample X254,0.210,
K15,Sample X255,0.210,
K16,Sample X256,0.227,
K17,Sample X257,0.220,
K18,Sample X258,0.248,
K19,Sample X259,0.210,
K20,Sample X260,0.224,
K21,Sample X261,0.230,
K22,Sample X262,0.240,
K23,Sample X263,1.781,
K24,Sample X264,1.694,
L01,Sample X265,1.822,
L02,Sample X266,1.669,
L03,Sample X267,0.235,
L04,Sample X268,0.225,
L05,Sample X269,0.225,
L06,Sample X270,0.214,
L07,Sample X271,0.230,
L08,Sample X272,0.242,
L09,Sample X273,0.247,
L10,Sample X274,0.221,
L11,Sample X275,0.231,
L12,Sample X276,0.218,
L13,Sample X277,0.232,
L14,Sample X278,0.241,
L15,Sample X279,0.277,
L16,Sample X280,0.226,
L17,Sample X281,0.218,
L18,Sample X282,0.242,
L19,Sample X283,0.231,
L20,Sample X284,0.221,
L21,Sample X285,0.243,
L22,Sample X286,0.217,
L23,Sample X287,0.538,
L24,Sample X288,1.306,
M01,Sample X289,1.565,
M02,Sample X290,1.955,
M03,Sample X291,0.225,
M04,Sample X292,0.218,
M05,Sample X293,0.206,
M06,Sample X294,0.239,
M07,Sample X295,0.254,
M08,Sample X296,0.235,
M09,Sample X297,0.230,
M10,Sample X298,0.219,
M11,Sample X299,0.215,
M12,Sample X300,0.217,
M13,Sample X301,0.179,
M14,Sample X302,0.280,
M15,Sample X303,0.216,
M16,Sample X304,0.201,
M17,Sample X305,0.225,
M18,Sample X306,0.199,
M19,Sample X307,0.228,
M20,Sample X308,0.213,
M21,Sample X309,0.263,
M22,Sample X310,0.206,
M23,Sample X311,1.220,
M24,Sample X312,1.416,
N01,Sample X313,1.790,
N02,Sample X314,1.786,
N03,Sample X315,0.278,
N04,Sample X316,0.231,
N05,Sample X317,0.218,
N06,Sample X318,0.219,
N07,Sample X319,0.233,
N08,Sample X320,0.243,
