Well,Content,Raw Data (600),
A01,Sample X1,1.207,
A02,Sample X2,1.194,
A03,Sample X3,0.158,
A04,Sample X4,0.177,
A05,Sample X5,0.174,
A06,Sample X6,0.148,
A07,Sample X7,0.172,
A08,Sample X8,0.183,
A09,Sample X9,0.165,
A10,Sample X10,0.175,
A11,Sample X11,0.166,
A12,Sample X12,0.170,
A13,Sample X13,0.169,
A14,Sample X14,0.169,
A15,Sample X15,0.157,
A16,Sample X16,0.216,
A17,Sample X17,0.186,
A18,Sample X18,0.157,
A19,Sample X19,0.174,
A20,Sample X20,0.174,
A21,Sample X21,0.194,
A22,Sample X22,0.157,
A23,Sample X23,1.125,
A24,Sample X24,1.120,
B01,Sample X25,1.170,
B02,Sample X26,1.104,
B03,Sample X27,0.162,
B04,Sample X28,0.135,
B05,Sample X29,0.133,
B06,Sample X30,0.144,
B07,Sample X31,0.175,
B08,Sample X32,0.155,
B09,Sample X33,0.180,
B10,Sample X34,0.170,
B11,Sample X35,0.189,
B12,Sample X36,0.156,
B13,Sample X37,0.172,
B14,Sample X38,0.161,
B15,Sample X39,0.181,
B16,Sample X40,0.146,
B17,Sample X41,0.154,
B18,Sample X42,0.167,
B19,Sample X43,0.153,
B20,Sample X44,0.147,
B21,Sample X45,0.152,
B22,Sample X46,0.155,
B23,Sample X47,1.169,
B24,Sample X48,0.574,
C01,Sample X49,1.135,
C02,Sample X50,1.087,
C03,Sample X51,0.119,
C04,Sample X52,0.174,
C05,Sample X53,0.129,
C06,Sample X54,0.142,
C07,Sample X55,0.164,
C08,Sample X56,0.152,
C09,Sample X57,0.157,
C10,Sample X58,0.129,
C11,Sample X59,0.160,
C12,Sample X60,0.151,
C13,Sample X61,0.137,
C14,Sample X62,0.140,
C15,Sample X63,0.140,
C16,Sample X64,0.150,
C17,Sample X65,0.150,
C18,Sample X66,0.133,
C19,Sample X67,0.160,
C20,Sample X68,0.126,
C21,Sample X69,0.132,
C22,Sample X70,0.135,
C23,Sample X71,1.064,
C24,Sample X72,1.060,
D01,Sample X73,1.120,
D02,Sample X74,0.965,
D03,Sample X75,0.136,
D04,Sample X76,0.143,
D05,Sample X77,0.153,
D06,Sample X78,0.129,
D07,Sample X79,0.154,
D08,Sample X80,0.149,
D09,Sample X81,0.211,
D10,Sample X82,0.145,
D11,Sample X83,0.146,
D12,Sample X84,0.137,
D13,Sample X85,0.138,
D14,Sample X86,0.142,
D15,Sample X87,0.146,
D16,Sample X88,0.145,
D17,Sample X89,0.194,
D18,Sample X90,0.149,
D19,Sample X91,0.131,
D20,Sample X92,0.141,
D21,Sample X93,0.150,
D22,Sample X94,0.160,
D23,Sample X95,1.011,
D24,Sample X96,1.113,
E01,Sample X97,1.183,
E02,Sample X98,0.880,
E03,Sample X99,0.158,
E04,Sample X100,0.215,
E05,Sample X101,0.150,
E06,Sample X102,0.148,
E07,Sample X103,0.152,
E08,Sample X104,0.142,
E09,Sample X105,0.134,
E10,Sample X106,0.152,
E11,Sample X107,0.142,
E12,Sample X108,0.142,
E13,Sample X109,0.137,
E14,Sample X110,0.154,
E15,Sample X111,0.150,
E16,Sample X112,0.142,
E17,Sample X113,0.147,
E18,Sample X114,0.147,
E19,Sample X115,0.134,
E20,Sample X116,0.138,
E21,Sample X117,0.150,
E22,Sample X118,0.142,
E23,Sample X119,1.026,
E24,Sample X120,1.166,
F01,Sample X121,1.137,
F02,Sample X122,1.010,
F03,Sample X123,0.142,
F04,Sample X124,0.166,
F05,Sample X125,0.149,
F06,Sample X126,0.149,
F07,Sample X127,0.142,
F08,Sample X128,0.164,
F09,Sample X129,0.153,
F10,Sample X130,0.131,
F11,Sample X131,0.137,
F12,Sample X132,0.136,
F13,Sample X133,0.145,
F14,Sample X134,0.161,
F15,Sample X135,0.148,
F16,Sample X136,0.144,
F17,Sample X137,0.150,
F18,Sample X138,0.149,
F19,Sample X139,0.138,
F20,Sample X140,0.154,
F21,Sample X141,0.158,
F22,Sample X142,0.136,
F23,Sample X143,1.031,
F24,Sample X144,1.116,
G01,Sample X145,1.153,
G02,Sample X146,1.348,
G03,Sample X147,0.155,
G04,Sample X148,0.166,
G05,Sample X149,0.142,
G06,Sample X150,0.175,
G07,Sample X151,0.143,
G08,Sample X152,0.151,
G09,Sample X153,0.127,
G10,Sample X154,0.124,
G11,Sample X155,0.128,
G12,Sample X156,0.136,
G13,Sample X157,0.115,
G14,Sample X158,0.131,
G15,Sample X159,0.089,
G16,Sample X160,0.142,
G17,Sample X161,0.138,
G18,Sample X162,0.139,
G19,Sample X163,0.148,
G20,Sample X164,0.149,
G21,Sample X165,0.142,
G22,Sample X166,0.136,
G23,Sample X167,1.052,
G24,Sample X168,1.120,
H01,Sample X169,1.155,
H02,Sample X170,1.044,
H03,Sample X171,0.149,
H04,Sample X172,0.151,
H05,Sample X173,0.149,
H06,Sample X174,0.147,
H07,Sample X175,0.150,
H08,Sample X176,0.153,
H09,Sample X177,0.153,
H10,Sample X178,0.149,
H11,Sample X179,0.139,
H12,Sample X180,0.154,
H13,Sample X181,0.134,
H14,Sample X182,0.157,
H15,Sample X183,0.143,
H16,Sample X184,0.168,
H17,Sample X185,0.145,
H18,Sample X186,0.140,
H19,Sample X187,0.132,
H20,Sample X188,0.132,
H21,Sample X189,0.140,
H22,Sample X190,0.140,
H23,Sample X191,1.066,
H24,Sample X192,1.141,
I01,Sample X193,1.184,
I02,Sample X194,1.144,
I03,Sample X195,0.155,
I04,Sample X196,0.140,
I05,Sample X197,0.144,
I06,Sample X198,0.133,
I07,Sample X199,0.124,
I08,Sample X200,0.136,
I09,Sample X201,0.122,
I10,Sample X202,0.134,
I11,Sample X203,0.128,
I12,Sample X204,0.137,
I13,Sample X205,0.141,
I14,Sample X206,0.139,
I15,Sample X207,0.135,
I16,Sample X208,0.143,
I17,Sample X209,0.145,
I18,Sample X210,0.141,
I19,Sample X211,0.130,
I20,Sample X212,0.140,
I21,Sample X213,0.143,
I22,Sample X214,0.130,
I23,Sample X215,0.501,
I24,Sample X216,1.096,
J01,Sample X217,1.122,
J02,Sample X218,1.095,
J03,Sample X219,0.132,
J04,Sample X220,0.137,
J05,Sample X221,0.147,
J06,Sample X222,0.149,
J07,Sample X223,0.140,
J08,Sample X224,0.144,
J09,Sample X225,0.154,
J10,Sample X226,0.149,
J11,Sample X227,0.139,
J12,Sample X228,0.157,
J13,Sample X229,0.135,
J14,Sample X230,0.142,
J15,Sample X231,0.158,
J16,Sample X232,0.156,
J17,Sample X233,0.140,
J18,Sample X234,0.144,
J19,Sample X235,0.143,
J20,Sample X236,0.150,
J21,Sample X237,0.140,
J22,Sample X238,0.145,
J23,Sample X239,1.230,
J24,Sample X240,1.165,
K01,Sample X241,1.106,
K02,Sample X242,1.074,
K03,Sample X243,0.127,
K04,Sample X244,0.126,
K05,Sample X245,0.141,
K06,Sample X246,0.143,
K07,Sample X247,0.135,
K08,Sample X248,0.137,
K09,Sample X249,0.135,
K10,Sample X250,0.142,
K11,Sample X251,0.133,
K12,Sample X252,0.130,
K13,Sample X253,0.137,
K14,Sample X254,0.133,
K15,Sample X255,0.135,
K16,Sample X256,0.141,
K17,Sample X257,0.141,
K18,Sample X258,0.153,
K19,Sample X259,0.132,
K20,Sample X260,0.145,
K21,Sample X261,0.140,
K22,Sample X262,0.142,
K23,Sample X263,1.102,
K24,Sample X264,1.131,
L01,Sample X265,1.195,
L02,Sample X266,1.127,
L03,Sample X267,0.146,
L04,Sample X268,0.140,
L05,Sample X269,0.141,
L06,Sample X270,0.136,
L07,Sample X271,0.146,
L08,Sample X272,0.146,
L09,Sample X273,0.151,
L10,Sample X274,0.141,
L11,Sample X275,0.146,
L12,Sample X276,0.137,
L13,Sample X277,0.143,
L14,Sample X278,0.148,
L15,Sample X279,0.167,
L16,Sample X280,0.144,
L17,Sample X281,0.140,
L18,Sample X282,0.150,
L19,Sample X283,0.147,
L20,Sample X284,0.137,
L21,Sample X285,0.147,
L22,Sample X286,0.134,
L23,Sample X287,1.309,
L24,Sample X288,1.260,
M01,Sample X289,1.094,
M02,Sample X290,1.074,
M03,Sample X291,0.138,
M04,Sample X292,0.138,
M05,Sample X293,0.129,
M06,Sample X294,0.144,
M07,Sample X295,0.153,
M08,Sample X296,0.144,
M09,Sample X297,0.141,
M10,Sample X298,0.137,
M11,Sample X299,0.131,
M12,Sample X300,0.136,
M13,Sample X301,0.119,
M14,Sample X302,0.201,
M15,Sample X303,0.141,
M16,Sample X304,0.126,
M17,Sample X305,0.138,
M18,Sample X306,0.124,
M19,Sample X307,0.141,
M20,Sample X308,0.134,
M21,Sample X309,0.158,
M22,Sample X310,0.128,
M23,Sample X311,0.649,
M24,Sample X312,0.988,
N01,Sample X313,1.101,
N02,Sample X314,1.115,
N03,Sample X315,0.168,
N04,Sample X316,0.143,
N05,Sample X317,0.137,
N06,Sample X318,0.134,
N07,Sample X319,0.144,
N08,Sample X320,0.153,
N09,Sample X321,0.165,
N10,Sample X322,0.138,
N11,Sample X323,0.147,
N12,Sample X324,0.141,
N13,Sample X325,0.130,
N14,Sample X326,0.139,
N15,Sample X327,0.134,
N16,Sample X328,0.138,
N17,Sample X329,0.145,
N18,Sample X330,0.141,
N19,Sample X331,0.149,
N20,Sample X332,0.120,
N21,Sample X333,0.135,
N22,Sample X334,0.140,
N23,Sample X335,1.014,
N24,Sample X336,1.194,
O01,Sample X337,1.114,
O02,Sample X338,0.975,
O03,Sample X339,0.162,
O04,Sample X340,0.133,
O05,Sample X341,0.149,
