Well,Content,Raw Data (600),
A01,Sample X1,1.578,
A02,Sample X2,1.586,
A03,Sample X3,0.190,
A04,Sample X4,0.208,
A05,Sample X5,0.209,
A06,Sample X6,0.182,
A07,Sample X7,0.204,
A08,Sample X8,0.222,
A09,Sample X9,0.202,
A10,Sample X10,0.205,
A11,Sample X11,0.197,
A12,Sample X12,0.199,
A13,Sample X13,0.208,
A14,Sample X14,0.208,
A15,Sample X15,0.187,
A16,Sample X16,0.263,
A17,Sample X17,0.221,
A18,Sample X18,0.191,
A19,Sample X19,0.209,
A20,Sample X20,0.211,
A21,Sample X21,0.241,
A22,Sample X22,0.191,
A23,Sample X23,1.549,
A24,Sample X24,1.522,
B01,Sample X25,1.577,
B02,Sample X26,1.550,
B03,Sample X27,0.198,
B04,Sample X28,0.166,
B05,Sample X29,0.162,
B06,Sample X30,0.179,
B07,Sample X31,0.216,
B08,Sample X32,0.189,
B09,Sample X33,0.212,
B10,Sample X34,0.207,
B11,Sample X35,0.231,
B12,Sample X36,0.190,
B13,Sample X37,0.215,
B14,Sample X38,0.197,
B15,Sample X39,0.226,
B16,Sample X40,0.176,
B17,Sample X41,0.192,
B18,Sample X42,0.202,
B19,Sample X43,0.186,
B20,Sample X44,0.178,
B21,Sample X45,0.184,
B22,Sample X46,0.191,
B23,Sample X47,1.481,
B24,Sample X48,1.935,
C01,Sample X49,1.558,
C02,Sample X50,1.720,
C03,Sample X51,0.144,
C04,Sample X52,0.214,
C05,Sample X53,0.154,
C06,Sample X54,0.171,
C07,Sample X55,0.202,
C08,Sample X56,0.183,
C09,Sample X57,0.188,
C10,Sample X58,0.154,
C11,Sample X59,0.195,
C12,Sample X60,0.184,
C13,Sample X61,0.168,
C14,Sample X62,0.167,
C15,Sample X63,0.172,
C16,Sample X64,0.174,
C17,Sample X65,0.176,
C18,Sample X66,0.160,
C19,Sample X67,0.195,
C20,Sample X68,0.155,
C21,Sample X69,0.160,
C22,Sample X70,0.164,
C23,Sample X71,1.518,
C24,Sample X72,1.362,
D01,Sample X73,1.503,
D02,Sample X74,1.427,
D03,Sample X75,0.168,
D04,Sample X76,0.170,
D05,Sample X77,0.186,
D06,Sample X78,0.154,
D07,Sample X79,0.189,
D08,Sample X80,0.180,
D09,Sample X81,0.243,
D10,Sample X82,0.171,
D11,Sample X83,0.177,
D12,Sample X84,0.163,
D13,Sample X85,0.166,
D14,Sample X86,0.171,
D15,Sample X87,0.175,
D16,Sample X88,0.174,
D17,Sample X89,0.222,
D18,Sample X90,0.181,
D19,Sample X91,0.156,
D20,Sample X92,0.171,
D21,Sample X93,0.183,
D22,Sample X94,0.194,
D23,Sample X95,1.439,
D24,Sample X96,1.543,
E01,Sample X97,1.626,
E02,Sample X98,1.193,
E03,Sample X99,0.196,
E04,Sample X100,0.265,
E05,Sample X101,0.183,
E06,Sample X102,0.179,
E07,Sample X103,0.188,
E08,Sample X104,0.170,
E09,Sample X105,0.163,
E10,Sample X106,0.183,
E11,Sample X107,0.172,
E12,Sample X108,0.169,
E13,Sample X109,0.168,
E14,Sample X110,0.188,
E15,Sample X111,0.185,
E16,Sample X112,0.171,
E17,Sample X113,0.178,
E18,Sample X114,0.177,
E19,Sample X115,0.165,
E20,Sample X116,0.168,
E21,Sample X117,0.179,
E22,Sample X118,0.170,
E23,Sample X119,1.471,
E24,Sample X120,1.606,
F01,Sample X121,1.594,
F02,Sample X122,1.409,
F03,Sample X123,0.173,
F04,Sample X124,0.203,
F05,Sample X125,0.186,
F06,Sample X126,0.175,
F07,Sample X127,0.172,
F08,Sample X128,0.197,
F09,Sample X129,0.184,
F10,Sample X130,0.157,
F11,Sample X131,0.161,
F12,Sample X132,0.161,
F13,Sample X133,0.179,
F14,Sample X134,0.193,
F15,Sample X135,0.177,
F16,Sample X136,0.176,
F17,Sample X137,0.183,
F18,Sample X138,0.180,
F19,Sample X139,0.167,
F20,Sample X140,0.185,
F21,Sample X141,0.189,
F22,Sample X142,0.165,
F23,Sample X143,1.452,
F24,Sample X144,1.530,
G01,Sample X145,1.951,
G02,Sample X146,1.405,
G03,Sample X147,0.190,
G04,Sample X148,0.199,
G05,Sample X149,0.174,
G06,Sample X150,0.211,
G07,Sample X151,0.174,
G08,Sample X152,0.183,
G09,Sample X153,0.151,
G10,Sample X154,0.148,
G11,Sample X155,0.152,
G12,Sample X156,0.163,
G13,Sample X157,0.138,
G14,Sample X158,0.156,
G15,Sample X159,0.100,
G16,Sample X160,0.171,
G17,Sample X161,0.168,
G18,Sample X162,0.168,
G19,Sample X163,0.176,
G20,Sample X164,0.179,
G21,Sample X165,0.169,
G22,Sample X166,0.162,
G23,Sample X167,1.506,
G24,Sample X168,1.553,
H01,Sample X169,1.771,
H02,Sample X170,1.499,
H03,Sample X171,0.178,
H04,Sample X172,0.183,
H05,Sample X173,0.181,
H06,Sample X174,0.177,
H07,Sample X175,0.180,
H08,Sample X176,0.187,
H09,Sample X177,0.189,
H10,Sample X178,0.183,
H11,Sample X179,0.166,
H12,Sample X180,0.179,
H13,Sample X181,0.165,
H14,Sample X182,0.188,
H15,Sample X183,0.191,
H16,Sample X184,0.202,
H17,Sample X185,0.175,
H18,Sample X186,0.168,
H19,Sample X187,0.155,
H20,Sample X188,0.154,
H21,Sample X189,0.172,
H22,Sample X190,0.168,
H23,Sample X191,1.506,
H24,Sample X192,1.566,
I01,Sample X193,1.578,
I02,Sample X194,1.583,
I03,Sample X195,0.188,
I04,Sample X196,0.171,
I05,Sample X197,0.175,
I06,Sample X198,0.159,
I07,Sample X199,0.150,
