Well,Content,Raw Data (600),
A01,Sample X1,0.130,
A02,Sample X2,0.130,
A03,Sample X3,0.084,
A04,Sample X4,0.092,
A05,Sample X5,0.093,
A06,Sample X6,0.081,
A07,Sample X7,0.091,
A08,Sample X8,0.094,
A09,Sample X9,0.087,
A10,Sample X10,0.088,
A11,Sample X11,0.087,
A12,Sample X12,0.098,
A13,Sample X13,0.099,
A14,Sample X14,0.091,
A15,Sample X15,0.083,
A16,Sample X16,0.107,
A17,Sample X17,0.095,
A18,Sample X18,0.084,
A19,Sample X19,0.090,
A20,Sample X20,0.093,
A21,Sample X21,0.088,
A22,Sample X22,0.086,
A23,Sample X23,0.125,
A24,Sample X24,0.128,
B01,Sample X25,0.124,
B02,Sample X26,0.116,
B03,Sample X27,0.086,
B04,Sample X28,0.077,
B05,Sample X29,0.075,
B06,Sample X30,0.081,
B07,Sample X31,0.093,
B08,Sample X32,0.086,
B09,Sample X33,0.112,
B10,Sample X34,0.091,
B11,Sample X35,0.094,
B12,Sample X36,0.084,
B13,Sample X37,0.090,
B14,Sample X38,0.087,
B15,Sample X39,0.098,
B16,Sample X40,0.082,
B17,Sample X41,0.084,
B18,Sample X42,0.092,
B19,Sample X43,0.084,
B20,Sample X44,0.082,
B21,Sample X45,0.083,
B22,Sample X46,0.084,
B23,Sample X47,0.128,
B24,Sample X48,0.112,
C01,Sample X49,0.123,
C02,Sample X50,0.119,
C03,Sample X51,0.070,
C04,Sample X52,0.084,
C05,Sample X53,0.076,
C06,Sample X54,0.080,
C07,Sample X55,0.088,
C08,Sample X56,0.083,
C09,Sample X57,0.099,
C10,Sample X58,0.075,
C11,Sample X59,0.086,
C12,Sample X60,0.085,
C13,Sample X61,0.076,
C14,Sample X62,0.077,
C15,Sample X63,0.079,
C16,Sample X64,0.082,
C17,Sample X65,0.083,
C18,Sample X66,0.076,
C19,Sample X67,0.086,
C20,Sample X68,0.076,
C21,Sample X69,0.078,
C22,Sample X70,0.079,
C23,Sample X71,0.111,
C24,Sample X72,0.122,
D01,Sample X73,0.114,
D02,Sample X74,0.105,
D03,Sample X75,0.078,
D04,Sample X76,0.080,
D05,Sample X77,0.087,
D06,Sample X78,0.075,
D07,Sample X79,0.086,
D08,Sample X80,0.088,
D09,Sample X81,0.134,
D10,Sample X82,0.081,
D11,Sample X83,0.081,
D12,Sample X84,0.082,
D13,Sample X85,0.078,
D14,Sample X86,0.080,
D15,Sample X87,0.083,
D16,Sample X88,0.079,
D17,Sample X89,0.127,
D18,Sample X90,0.085,
D19,Sample X91,0.077,
D20,Sample X92,0.081,
D21,Sample X93,0.084,
D22,Sample X94,0.085,
D23,Sample X95,0.103,
D24,Sample X96,0.125,
E01,Sample X97,0.137,
E02,Sample X98,0.140,
E03,Sample X99,0.091,
E04,Sample X100,0.110,
E05,Sample X101,0.081,
E06,Sample X102,0.084,
E07,Sample X103,0.085,
E08,Sample X104,0.081,
E09,Sample X105,0.081,
E10,Sample X106,0.085,
E11,Sample X107,0.083,
E12,Sample X108,0.081,
E13,Sample X109,0.080,
E14,Sample X110,0.090,
E15,Sample X111,0.082,
E16,Sample X112,0.080,
E17,Sample X113,0.085,
E18,Sample X114,0.084,
E19,Sample X115,0.076,
E20,Sample X116,0.076,
E21,Sample X117,0.091,
E22,Sample X118,0.080,
E23,Sample X119,0.107,
E24,Sample X120,0.128,
F01,Sample X121,0.119,
F02,Sample X122,0.114,
F03,Sample X123,0.081,
F04,Sample X124,0.092,
F05,Sample X125,0.086,
F06,Sample X126,0.084,
F07,Sample X127,0.081,
F08,Sample X128,0.092,
F09,Sample X129,0.085,
F10,Sample X130,0.076,
F11,Sample X131,0.078,
F12,Sample X132,0.078,
F13,Sample X133,0.085,
F14,Sample X134,0.088,
F15,Sample X135,0.094,
F16,Sample X136,0.083,
F17,Sample X137,0.083,
F18,Sample X138,0.085,
F19,Sample X139,0.082,
F20,Sample X140,0.085,
F21,Sample X141,0.091,
F22,Sample X142,0.081,
F23,Sample X143,0.109,
F24,Sample X144,0.125,
G01,Sample X145,0.121,
G02,Sample X146,0.112,
G03,Sample X147,0.087,
G04,Sample X148,0.087,
G05,Sample X149,0.081,
G06,Sample X150,0.086,
G07,Sample X151,0.080,
G08,Sample X152,0.088,
G09,Sample X153,0.077,
G10,Sample X154,0.079,
G11,Sample X155,0.075,
G12,Sample X156,0.079,
G13,Sample X157,0.072,
G14,Sample X158,0.077,
G15,Sample X159,0.075,
G16,Sample X160,0.081,
G17,Sample X161,0.079,
G18,Sample X162,0.081,
G19,Sample X163,0.088,
G20,Sample X164,0.085,
G21,Sample X165,0.081,
G22,Sample X166,0.080,
G23,Sample X167,0.109,
G24,Sample X168,0.157,
H01,Sample X169,0.118,
H02,Sample X170,0.105,
H03,Sample X171,0.084,
H04,Sample X172,0.084,
H05,Sample X173,0.083,
H06,Sample X174,0.082,
H07,Sample X175,0.085,
H08,Sample X176,0.088,
H09,Sample X177,0.083,
H10,Sample X178,0.083,
H11,Sample X179,0.079,
H12,Sample X180,0.087,
