Well,Content,Raw Data (600),
A01,Sample X1,0.053,
A02,Sample X2,0.053,
A03,Sample X3,0.047,
A04,Sample X4,0.051,
A05,Sample X5,0.050,
A06,Sample X6,0.051,
A07,Sample X7,0.050,
A08,Sample X8,0.054,
A09,Sample X9,0.053,
A10,Sample X10,0.050,
A11,Sample X11,0.050,
A12,Sample X12,0.064,
A13,Sample X13,0.059,
A14,Sample X14,0.049,
A15,Sample X15,0.050,
A16,Sample X16,0.051,
A17,Sample X17,0.055,
A18,Sample X18,0.049,
A19,Sample X19,0.051,
A20,Sample X20,0.054,
A21,Sample X21,0.051,
A22,Sample X22,0.051,
A23,Sample X23,0.054,
A24,Sample X24,0.052,
B01,Sample X25,0.052,
B02,Sample X26,0.050,
B03,Sample X27,0.050,
B04,Sample X28,0.052,
B05,Sample X29,0.051,
B06,Sample X30,0.052,
B07,Sample X31,0.054,
B08,Sample X32,0.050,
B09,Sample X33,0.093,
B10,Sample X34,0.057,
B11,Sample X35,0.053,
B12,Sample X36,0.050,
B13,Sample X37,0.052,
B14,Sample X38,0.052,
B15,Sample X39,0.059,
B16,Sample X40,0.051,
B17,Sample X41,0.051,
B18,Sample X42,0.051,
B19,Sample X43,0.049,
B20,Sample X44,0.051,
B21,Sample X45,0.050,
B22,Sample X46,0.050,
B23,Sample X47,0.051,
B24,Sample X48,0.049,
C01,Sample X49,0.049,
C02,Sample X50,0.050,
C03,Sample X51,0.048,
C04,Sample X52,0.047,
C05,Sample X53,0.050,
C06,Sample X54,0.052,
C07,Sample X55,0.056,
C08,Sample X56,0.057,
C09,Sample X57,0.063,
C10,Sample X58,0.050,
C11,Sample X59,0.053,
C12,Sample X60,0.055,
C13,Sample X61,0.055,
C14,Sample X62,0.051,
C15,Sample X63,0.054,
C16,Sample X64,0.056,
C17,Sample X65,0.055,
C18,Sample X66,0.054,
C19,Sample X67,0.054,
C20,Sample X68,0.051,
C21,Sample X69,0.052,
C22,Sample X70,0.053,
C23,Sample X71,0.053,
C24,Sample X72,0.058,
D01,Sample X73,0.048,
D02,Sample X74,0.055,
D03,Sample X75,0.051,
D04,Sample X76,0.052,
D05,Sample X77,0.055,
D06,Sample X78,0.050,
D07,Sample X79,0.053,
D08,Sample X80,0.064,
D09,Sample X81,0.100,
D10,Sample X82,0.053,
D11,Sample X83,0.055,
D12,Sample X84,0.055,
D13,Sample X85,0.054,
D14,Sample X86,0.053,
D15,Sample X87,0.055,
D16,Sample X88,0.052,
D17,Sample X89,0.098,
D18,Sample X90,0.054,
D19,Sample X91,0.053,
D20,Sample X92,0.056,
D21,Sample X93,0.058,
