Well,Content,Raw Data (600),
A01,Sample X1,1.645,
A02,Sample X2,1.663,
A03,Sample X3,0.197,
A04,Sample X4,0.220,
A05,Sample X5,0.227,
A06,Sample X6,0.195,
A07,Sample X7,0.222,
A08,Sample X8,0.234,
A09,Sample X9,0.219,
A10,Sample X10,0.223,
A11,Sample X11,0.217,
A12,Sample X12,0.211,
A13,Sample X13,0.219,
A14,Sample X14,0.221,
A15,Sample X15,0.203,
A16,Sample X16,0.283,
A17,Sample X17,0.237,
A18,Sample X18,0.206,
A19,Sample X19,0.227,
A20,Sample X20,0.227,
A21,Sample X21,0.259,
A22,Sample X22,0.211,
A23,Sample X23,1.633,
A24,Sample X24,1.593,
B01,Sample X25,1.664,
B02,Sample X26,1.635,
B03,Sample X27,0.212,
B04,Sample X28,0.178,
B05,Sample X29,0.174,
B06,Sample X30,0.191,
B07,Sample X31,0.234,
B08,Sample X32,0.203,
B09,Sample X33,0.227,
B10,Sample X34,0.228,
B11,Sample X35,0.250,
B12,Sample X36,0.205,
B13,Sample X37,0.227,
B14,Sample X38,0.217,
B15,Sample X39,0.240,
B16,Sample X40,0.187,
B17,Sample X41,0.205,
B18,Sample X42,0.218,
B19,Sample X43,0.203,
B20,Sample X44,0.193,
B21,Sample X45,0.197,
B22,Sample X46,0.207,
B23,Sample X47,1.505,
B24,Sample X48,1.933,
C01,Sample X49,1.629,
C02,Sample X50,1.863,
C03,Sample X51,0.155,
C04,Sample X52,0.231,
C05,Sample X53,0.168,
C06,Sample X54,0.186,
C07,Sample X55,0.215,
C08,Sample X56,0.197,
C09,Sample X57,0.203,
C10,Sample X58,0.165,
C11,Sample X59,0.211,
C12,Sample X60,0.199,
C13,Sample X61,0.184,
C14,Sample X62,0.179,
C15,Sample X63,0.183,
C16,Sample X64,0.194,
C17,Sample X65,0.196,
C18,Sample X66,0.174,
C19,Sample X67,0.209,
C20,Sample X68,0.165,
C21,Sample X69,0.174,
C22,Sample X70,0.174,
C23,Sample X71,1.606,
C24,Sample X72,1.497,
D01,Sample X73,1.517,
D02,Sample X74,1.593,
D03,Sample X75,0.178,
D04,Sample X76,0.184,
D05,Sample X77,0.203,
D06,Sample X78,0.167,
D07,Sample X79,0.203,
D08,Sample X80,0.194,
D09,Sample X81,0.259,
D10,Sample X82,0.185,
D11,Sample X83,0.192,
D12,Sample X84,0.175,
D13,Sample X85,0.177,
D14,Sample X86,0.187,
D15,Sample X87,0.186,
D16,Sample X88,0.187,
D17,Sample X89,0.236,
D18,Sample X90,0.193,
D19,Sample X91,0.169,
D20,Sample X92,0.181,
D21,Sample X93,0.199,
D22,Sample X94,0.209,
D23,Sample X95,1.550,
D24,Sample X96,1.636,
E01,Sample X97,1.700,
E02,Sample X98,1.184,
E03,Sample X99,0.212,
E04,Sample X100,0.289,
E05,Sample X101,0.198,
E06,Sample X102,0.190,
E07,Sample X103,0.204,
E08,Sample X104,0.184,
E09,Sample X105,0.173,
E10,Sample X106,0.197,
E11,Sample X107,0.185,
E12,Sample X108,0.182,
E13,Sample X109,0.180,
E14,Sample X110,0.200,
E15,Sample X111,0.200,
E16,Sample X112,0.183,
E17,Sample X113,0.194,
E18,Sample X114,0.193,
E19,Sample X115,0.182,
E20,Sample X116,0.182,
E21,Sample X117,0.198,
E22,Sample X118,0.182,
E23,Sample X119,1.564,
E24,Sample X120,1.694,
F01,Sample X121,1.657,
F02,Sample X122,1.251,
F03,Sample X123,0.186,
F04,Sample X124,0.219,
F05,Sample X125,0.201,
F06,Sample X126,0.189,
F07,Sample X127,0.187,
F08,Sample X128,0.212,
F09,Sample X129,0.198,
F10,Sample X130,0.168,
F11,Sample X131,0.174,
F12,Sample X132,0.174,
F13,Sample X133,0.191,
F14,Sample X134,0.208,
F15,Sample X135,0.187,
F16,Sample X136,0.189,
F17,Sample X137,0.196,
F18,Sample X138,0.190,
F19,Sample X139,0.177,
F20,Sample X140,0.199,
F21,Sample X141,0.207,
F22,Sample X142,0.177,
F23,Sample X143,1.547,
F24,Sample X144,1.639,
G01,Sample X145,2.014,
G02,Sample X146,1.262,
G03,Sample X147,0.203,
G04,Sample X148,0.214,
G05,Sample X149,0.186,
G06,Sample X150,0.228,
G07,Sample X151,0.191,
G08,Sample X152,0.195,
G09,Sample X153,0.161,
G10,Sample X154,0.160,
G11,Sample X155,0.164,
G12,Sample X156,0.179,
G13,Sample X157,0.150,
G14,Sample X158,0.167,
G15,Sample X159,0.101,
G16,Sample X160,0.183,
G17,Sample X161,0.178,
G18,Sample X162,0.183,
