Well,Content,Raw Data (600),
A01,Sample X1,1.763,
A02,Sample X2,1.816,
A03,Sample X3,0.241,
A04,Sample X4,0.272,
A05,Sample X5,0.262,
A06,Sample X6,0.230,
A07,Sample X7,0.264,
A08,Sample X8,0.281,
A09,Sample X9,0.260,
A10,Sample X10,0.264,
A11,Sample X11,0.257,
A12,Sample X12,0.250,
A13,Sample X13,0.264,
A14,Sample X14,0.264,
A15,Sample X15,0.239,
A16,Sample X16,0.343,
A17,Sample X17,0.287,
A18,Sample X18,0.251,
A19,Sample X19,0.271,
A20,Sample X20,0.277,
A21,Sample X21,0.314,
A22,Sample X22,0.246,
A23,Sample X23,1.760,
A24,Sample X24,1.726,
B01,Sample X25,1.800,
B02,Sample X26,1.802,
B03,Sample X27,0.257,
B04,Sample X28,0.214,
B05,Sample X29,0.207,
B06,Sample X30,0.229,
B07,Sample X31,0.283,
B08,Sample X32,0.243,
B09,Sample X33,0.265,
B10,Sample X34,0.270,
B11,Sample X35,0.302,
B12,Sample X36,0.244,
B13,Sample X37,0.270,
B14,Sample X38,0.261,
B15,Sample X39,0.289,
B16,Sample X40,0.229,
B17,Sample X41,0.248,
B18,Sample X42,0.260,
B19,Sample X43,0.244,
B20,Sample X44,0.229,
B21,Sample X45,0.238,
B22,Sample X46,0.248,
B23,Sample X47,1.713,
B24,Sample X48,1.868,
C01,Sample X49,1.739,
C02,Sample X50,1.966,
C03,Sample X51,0.191,
C04,Sample X52,0.283,
C05,Sample X53,0.204,
C06,Sample X54,0.227,
C07,Sample X55,0.263,
C08,Sample X56,0.241,
C09,Sample X57,0.241,
C10,Sample X58,0.198,
C11,Sample X59,0.262,
C12,Sample X60,0.234,
C13,Sample X61,0.215,
C14,Sample X62,0.216,
C15,Sample X63,0.221,
C16,Sample X64,0.232,
C17,Sample X65,0.239,
C18,Sample X66,0.207,
C19,Sample X67,0.249,
C20,Sample X68,0.202,
C21,Sample X69,0.205,
C22,Sample X70,0.206,
C23,Sample X71,1.735,
C24,Sample X72,1.402,
D01,Sample X73,1.615,
D02,Sample X74,1.738,
D03,Sample X75,0.217,
D04,Sample X76,0.227,
D05,Sample X77,0.244,
D06,Sample X78,0.200,
D07,Sample X79,0.247,
D08,Sample X80,0.233,
D09,Sample X81,0.304,
D10,Sample X82,0.222,
D11,Sample X83,0.234,
D12,Sample X84,0.212,
D13,Sample X85,0.214,
D14,Sample X86,0.227,
D15,Sample X87,0.228,
D16,Sample X88,0.225,
D17,Sample X89,0.272,
D18,Sample X90,0.236,
D19,Sample X91,0.202,
D20,Sample X92,0.219,
D21,Sample X93,0.237,
D22,Sample X94,0.253,
D23,Sample X95,1.705,
D24,Sample X96,1.760,
E01,Sample X97,1.811,
E02,Sample X98,0.652,
E03,Sample X99,0.255,
E04,Sample X100,0.343,
E05,Sample X101,0.234,
E06,Sample X102,0.229,
E07,Sample X103,0.245,
E08,Sample X104,0.219,
E09,Sample X105,0.208,
E10,Sample X106,0.233,
E11,Sample X107,0.224,
E12,Sample X108,0.220,
E13,Sample X109,0.217,
E14,Sample X110,0.233,
E15,Sample X111,0.241,
E16,Sample X112,0.224,
E17,Sample X113,0.235,
E18,Sample X114,0.228,
E19,Sample X115,0.224,
E20,Sample X116,0.220,
E21,Sample X117,0.230,
E22,Sample X118,0.221,
E23,Sample X119,1.702,
E24,Sample X120,1.805,
F01,Sample X121,1.786,
F02,Sample X122,0.923,
F03,Sample X123,0.232,
F04,Sample X124,0.264,
F05,Sample X125,0.244,
F06,Sample X126,0.225,
F07,Sample X127,0.224,
F08,Sample X128,0.256,
F09,Sample X129,0.237,
F10,Sample X130,0.203,
F11,Sample X131,0.204,
F12,Sample X132,0.207,
F13,Sample X133,0.226,
F14,Sample X134,0.247,
F15,Sample X135,0.222,
F16,Sample X136,0.228,
F17,Sample X137,0.239,
F18,Sample X138,0.226,
F19,Sample X139,0.210,
F20,Sample X140,0.239,
F21,Sample X141,0.243,
F22,Sample X142,0.207,
F23,Sample X143,1.696,
F24,Sample X144,1.773,
G01,Sample X145,2.211,
G02,Sample X146,1.242,
G03,Sample X147,0.246,
G04,Sample X148,0.261,
G05,Sample X149,0.225,
G06,Sample X150,0.277,
G07,Sample X151,0.224,
G08,Sample X152,0.234,
G09,Sample X153,0.190,
G10,Sample X154,0.188,
G11,Sample X155,0.194,
G12,Sample X156,0.209,
G13,Sample X157,0.177,
G14,Sample X158,0.201,
G15,Sample X159,0.103,
G16,Sample X160,0.219,
G17,Sample X161,0.211,
G18,Sample X162,0.218,
G19,Sample X163,0.222,
G20,Sample X164,0.227,
G21,Sample X165,0.213,
G22,Sample X166,0.211,
G23,Sample X167,1.740,
G24,Sample X168,1.774,
H01,Sample X169,1.967,
H02,Sample X170,1.803,
H03,Sample X171,0.235,
H04,Sample X172,0.235,
H05,Sample X173,0.234,
H06,Sample X174,0.232,
H07,Sample X175,0.237,
H08,Sample X176,0.245,
H09,Sample X177,0.243,
H10,Sample X178,0.242,
H11,Sample X179,0.209,
H12,Sample X180,0.237,
H13,Sample X181,0.207,
H14,Sample X182,0.242,
H15,Sample X183,0.536,
H16,Sample X184,0.268,
H17,Sample X185,0.228,
H18,Sample X186,0.219,
H19,Sample X187,0.202,
H20,Sample X188,0.201,
H21,Sample X189,0.222,
H22,Sample X190,0.217,
H23,Sample X191,1.738,
H24,Sample X192,1.786,
I01,Sample X193,1.795,
I02,Sample X194,1.799,
I03,Sample X195,0.243,
I04,Sample X196,0.221,
I05,Sample X197,0.226,
I06,Sample X198,0.205,
I07,Sample X199,0.191,
I08,Sample X200,0.209,
I09,Sample X201,0.185,
I10,Sample X202,0.208,
I11,Sample X203,0.197,
I12,Sample X204,0.212,
I13,Sample X205,0.214,
I14,Sample X206,0.208,
I15,Sample X207,0.203,
I16,Sample X208,0.222,
I17,Sample X209,0.228,
I18,Sample X210,0.215,
I19,Sample X211,0.196,
I20,Sample X212,0.210,
I21,Sample X213,0.219,
I22,Sample X214,0.203,
I23,Sample X215,1.019,
I24,Sample X216,1.728,
J01,Sample X217,1.777,
J02,Sample X218,1.769,
J03,Sample X219,0.205,
J04,Sample X220,0.214,
J05,Sample X221,0.229,
J06,Sample X222,0.236,
J07,Sample X223,0.216,
J08,Sample X224,0.222,
J09,Sample X225,0.239,
J10,Sample X226,0.240,
J11,Sample X227,0.213,
J12,Sample X228,0.240,
J13,Sample X229,0.210,
J14,Sample X230,0.220,
J15,Sample X231,0.249,
J16,Sample X232,0.241,
J17,Sample X233,0.217,
J18,Sample X234,0.224,
J19,Sample X235,0.220,
J20,Sample X236,0.228,
J21,Sample X237,0.217,
J22,Sample X238,0.223,
J23,Sample X239,1.843,
J24,Sample X240,1.768,
K01,Sample X241,1.917,
K02,Sample X242,1.501,
K03,Sample X243,0.202,
K04,Sample X244,0.196,
K05,Sample X245,0.217,
K06,Sample X246,0.219,
K07,Sample X247,0.205,
K08,Sample X248,0.211,
K09,Sample X249,0.206,
K10,Sample X250,0.226,
K11,Sample X251,0.207,
K12,Sample X252,0.196,
K13,Sample X253,0.209,
K14,Sample X254,0.205,
K15,Sample X255,0.206,
K16,Sample X256,0.218,
K17,Sample X257,0.214,
K18,Sample X258,0.238,
K19,Sample X259,0.201,
K20,Sample X260,0.213,
K21,Sample X261,0.219,
K22,Sample X262,0.228,
K23,Sample X263,1.759,
K24,Sample X264,1.681,
L01,Sample X265,1.824,
L02,Sample X266,1.679,
L03,Sample X267,0.225,
L04,Sample X268,0.214,
L05,Sample X269,0.218,
L06,Sample X270,0.208,
L07,Sample X271,0.218,
L08,Sample X272,0.225,
L09,Sample X273,0.237,
L10,Sample X274,0.213,
L11,Sample X275,0.223,
L12,Sample X276,0.212,
L13,Sample X277,0.223,
L14,Sample X278,0.230,
L15,Sample X279,0.267,
L16,Sample X280,0.219,
L17,Sample X281,0.211,
L18,Sample X282,0.233,
L19,Sample X283,0.222,
L20,Sample X284,0.210,
L21,Sample X285,0.232,
L22,Sample X286,0.211,
L23,Sample X287,0.572,
L24,Sample X288,1.500,
M01,Sample X289,1.526,
M02,Sample X290,1.996,
M03,Sample X291,0.215,
M04,Sample X292,0.211,
M05,Sample X293,0.196,
M06,Sample X294,0.230,
M07,Sample X295,0.241,
M08,Sample X296,0.228,
M09,Sample X297,0.220,
M10,Sample X298,0.211,
M11,Sample X299,0.208,
M12,Sample X300,0.208,
M13,Sample X301,0.173,
M14,Sample X302,0.271,
M15,Sample X303,0.209,
M16,Sample X304,0.193,
M17,Sample X305,0.212,
M18,Sample X306,0.193,
M19,Sample X307,0.216,
M20,Sample X308,0.203,
M21,Sample X309,0.252,
M22,Sample X310,0.199,
M23,Sample X311,0.981,
M24,Sample X312,1.376,
N01,Sample X313,1.786,
N02,Sample X314,1.779,
N03,Sample X315,0.264,
N04,Sample X316,0.224,
N05,Sample X317,0.211,
N06,Sample X318,0.208,
N07,Sample X319,0.223,
N08,Sample X320,0.232,
N09,Sample X321,0.244,
N10,Sample X322,0.208,
N11,Sample X323,0.227,
N12,Sample X324,0.218,
N13,Sample X325,0.201,
N14,Sample X326,0.212,
N15,Sample X327,0.205,
N16,Sample X328,0.215,
N17,Sample X329,0.224,
N18,Sample X330,0.225,
N19,Sample X331,0.226,
N20,Sample X332,0.184,
N21,Sample X333,0.210,
