Well,Content,Raw Data (600),
A01,Sample X1,0.237,
A02,Sample X2,0.236,
A03,Sample X3,0.103,
A04,Sample X4,0.112,
A05,Sample X5,0.110,
A06,Sample X6,0.098,
A07,Sample X7,0.109,
A08,Sample X8,0.114,
A09,Sample X9,0.107,
A10,Sample X10,0.110,
A11,Sample X11,0.105,
A12,Sample X12,0.113,
A13,Sample X13,0.115,
A14,Sample X14,0.111,
A15,Sample X15,0.102,
A16,Sample X16,0.140,
A17,Sample X17,0.114,
A18,Sample X18,0.101,
A19,Sample X19,0.114,
A20,Sample X20,0.114,
A21,Sample X21,0.118,
A22,Sample X22,0.102,
A23,Sample X23,0.227,
A24,Sample X24,0.239,
B01,Sample X25,0.227,
B02,Sample X26,0.213,
B03,Sample X27,0.103,
B04,Sample X28,0.094,
B05,Sample X29,0.089,
B06,Sample X30,0.095,
B07,Sample X31,0.113,
B08,Sample X32,0.102,
B09,Sample X33,0.129,
B10,Sample X34,0.108,
B11,Sample X35,0.116,
B12,Sample X36,0.103,
B13,Sample X37,0.110,
B14,Sample X38,0.104,
B15,Sample X39,0.117,
B16,Sample X40,0.098,
B17,Sample X41,0.102,
B18,Sample X42,0.110,
B19,Sample X43,0.101,
B20,Sample X44,0.096,
B21,Sample X45,0.099,
B22,Sample X46,0.100,
B23,Sample X47,0.260,
B24,Sample X48,0.097,
C01,Sample X49,0.229,
C02,Sample X50,0.212,
C03,Sample X51,0.082,
C04,Sample X52,0.107,
C05,Sample X53,0.085,
C06,Sample X54,0.096,
C07,Sample X55,0.104,
C08,Sample X56,0.099,
C09,Sample X57,0.114,
C10,Sample X58,0.086,
C11,Sample X59,0.105,
C12,Sample X60,0.099,
C13,Sample X61,0.092,
C14,Sample X62,0.092,
C15,Sample X63,0.093,
C16,Sample X64,0.096,
C17,Sample X65,0.099,
C18,Sample X66,0.088,
C19,Sample X67,0.101,
C20,Sample X68,0.092,
C21,Sample X69,0.090,
C22,Sample X70,0.092,
C23,Sample X71,0.205,
C24,Sample X72,0.215,
D01,Sample X73,0.207,
D02,Sample X74,0.177,
D03,Sample X75,0.089,
D04,Sample X76,0.093,
D05,Sample X77,0.100,
D06,Sample X78,0.087,
D07,Sample X79,0.103,
D08,Sample X80,0.103,
D09,Sample X81,0.151,
D10,Sample X82,0.094,
D11,Sample X83,0.096,
D12,Sample X84,0.095,
D13,Sample X85,0.090,
D14,Sample X86,0.094,
D15,Sample X87,0.095,
D16,Sample X88,0.097,
D17,Sample X89,0.140,
D18,Sample X90,0.100,
D19,Sample X91,0.086,
D20,Sample X92,0.092,
D21,Sample X93,0.099,
D22,Sample X94,0.102,
D23,Sample X95,0.181,
D24,Sample X96,0.220,
E01,Sample X97,0.251,
E02,Sample X98,0.299,
E03,Sample X99,0.105,
E04,Sample X100,0.134,
E05,Sample X101,0.095,
E06,Sample X102,0.100,
E07,Sample X103,0.102,
E08,Sample X104,0.093,
E09,Sample X105,0.096,
E10,Sample X106,0.099,
E11,Sample X107,0.095,
E12,Sample X108,0.094,
E13,Sample X109,0.094,
E14,Sample X110,0.105,
E15,Sample X111,0.100,
E16,Sample X112,0.093,
E17,Sample X113,0.103,
E18,Sample X114,0.097,
E19,Sample X115,0.089,
E20,Sample X116,0.092,
E21,Sample X117,0.104,
E22,Sample X118,0.095,
E23,Sample X119,0.189,
E24,Sample X120,0.239,
F01,Sample X121,0.224,
F02,Sample X122,0.213,
F03,Sample X123,0.093,
F04,Sample X124,0.107,
F05,Sample X125,0.099,
F06,Sample X126,0.100,
F07,Sample X127,0.094,
F08,Sample X128,0.105,
F09,Sample X129,0.101,
F10,Sample X130,0.087,
F11,Sample X131,0.092,
F12,Sample X132,0.089,
F13,Sample X133,0.096,
F14,Sample X134,0.107,
F15,Sample X135,0.105,
F16,Sample X136,0.098,
F17,Sample X137,0.096,
F18,Sample X138,0.099,
F19,Sample X139,0.094,
F20,Sample X140,0.102,
F21,Sample X141,0.105,
F22,Sample X142,0.097,
F23,Sample X143,0.191,
F24,Sample X144,0.223,
G01,Sample X145,0.224,
G02,Sample X146,0.197,
G03,Sample X147,0.103,
G04,Sample X148,0.108,
G05,Sample X149,0.097,
G06,Sample X150,0.109,
G07,Sample X151,0.096,
G08,Sample X152,0.102,
G09,Sample X153,0.088,
G10,Sample X154,0.089,
G11,Sample X155,0.088,
G12,Sample X156,0.096,
G13,Sample X157,0.083,
G14,Sample X158,0.088,
G15,Sample X159,0.083,
G16,Sample X160,0.097,
G17,Sample X161,0.096,
G18,Sample X162,0.094,
G19,Sample X163,0.102,
G20,Sample X164,0.102,
G21,Sample X165,0.095,
G22,Sample X166,0.095,
G23,Sample X167,0.199,
G24,Sample X168,0.247,
H01,Sample X169,0.226,
H02,Sample X170,0.190,
H03,Sample X171,0.099,
H04,Sample X172,0.100,
H05,Sample X173,0.098,
H06,Sample X174,0.097,
H07,Sample X175,0.101,
H08,Sample X176,0.103,
H09,Sample X177,0.101,
H10,Sample X178,0.100,
H11,Sample X179,0.094,
H12,Sample X180,0.098,
H13,Sample X181,0.091,
H14,Sample X182,0.105,
H15,Sample X183,0.097,
H16,Sample X184,0.107,
H17,Sample X185,0.097,
H18,Sample X186,0.097,
H19,Sample X187,0.090,
H20,Sample X188,0.093,
H21,Sample X189,0.097,
H22,Sample X190,0.096,
H23,Sample X191,0.205,
H24,Sample X192,0.227,
I01,Sample X193,0.247,
I02,Sample X194,0.225,
I03,Sample X195,0.102,
I04,Sample X196,0.091,
I05,Sample X197,0.093,
I06,Sample X198,0.091,
I07,Sample X199,0.084,
I08,Sample X200,0.092,
I09,Sample X201,0.086,
I10,Sample X202,0.091,
I11,Sample X203,0.089,
I12,Sample X204,0.094,
I13,Sample X205,0.096,
I14,Sample X206,0.100,
I15,Sample X207,0.093,
I16,Sample X208,0.100,
I17,Sample X209,0.097,
I18,Sample X210,0.093,
I19,Sample X211,0.091,
I20,Sample X212,0.095,
I21,Sample X213,0.097,
I22,Sample X214,0.090,
I23,Sample X215,0.142,
I24,Sample X216,0.221,
J01,Sample X217,0.215,
J02,Sample X218,0.218,
J03,Sample X219,0.089,
J04,Sample X220,0.093,
J05,Sample X221,0.101,
J06,Sample X222,0.101,
J07,Sample X223,0.092,
J08,Sample X224,0.096,
J09,Sample X225,0.099,
J10,Sample X226,0.097,
J11,Sample X227,0.093,
J12,Sample X228,0.106,
J13,Sample X229,0.091,
J14,Sample X230,0.092,
J15,Sample X231,0.103,
J16,Sample X232,0.105,
J17,Sample X233,0.094,
J18,Sample X234,0.096,
J19,Sample X235,0.098,
J20,Sample X236,0.101,
J21,Sample X237,0.093,
J22,Sample X238,0.097,
J23,Sample X239,0.253,
J24,Sample X240,0.268,
K01,Sample X241,0.212,
K02,Sample X242,0.201,
K03,Sample X243,0.089,
K04,Sample X244,0.087,
K05,Sample X245,0.096,
K06,Sample X246,0.094,
K07,Sample X247,0.093,
K08,Sample X248,0.094,
K09,Sample X249,0.089,
K10,Sample X250,0.096,
K11,Sample X251,0.092,
K12,Sample X252,0.093,
K13,Sample X253,0.092,
K14,Sample X254,0.093,
K15,Sample X255,0.091,
K16,Sample X256,0.094,
K17,Sample X257,0.097,
K18,Sample X258,0.099,
K19,Sample X259,0.091,
K20,Sample X260,0.105,
K21,Sample X261,0.096,
K22,Sample X262,0.095,
K23,Sample X263,0.215,
K24,Sample X264,0.251,
L01,Sample X265,0.243,
L02,Sample X266,0.229,
L03,Sample X267,0.097,
L04,Sample X268,0.095,
L05,Sample X269,0.098,
L06,Sample X270,0.093,
L07,Sample X271,0.104,
L08,Sample X272,0.097,
L09,Sample X273,0.101,
L10,Sample X274,0.097,
L11,Sample X275,0.100,
L12,Sample X276,0.093,
L13,Sample X277,0.095,
L14,Sample X278,0.098,
L15,Sample X279,0.106,
L16,Sample X280,0.100,
L17,Sample X281,0.093,
L18,Sample X282,0.098,
L19,Sample X283,0.097,
L20,Sample X284,0.092,
L21,Sample X285,0.097,
L22,Sample X286,0.089,
L23,Sample X287,0.228,
L24,Sample X288,0.248,
M01,Sample X289,0.210,
M02,Sample X290,0.211,
M03,Sample X291,0.092,
M04,Sample X292,0.089,
M05,Sample X293,0.092,
M06,Sample X294,0.095,
M07,Sample X295,0.103,
M08,Sample X296,0.097,
M09,Sample X297,0.095,
M10,Sample X298,0.096,
M11,Sample X299,0.091,
M12,Sample X300,0.088,
M13,Sample X301,0.085,
M14,Sample X302,0.157,
M15,Sample X303,0.094,
M16,Sample X304,0.089,
M17,Sample X305,0.095,
M18,Sample X306,0.087,
M19,Sample X307,0.094,
M20,Sample X308,0.093,
M21,Sample X309,0.104,
M22,Sample X310,0.089,
M23,Sample X311,0.160,
M24,Sample X312,0.209,
N01,Sample X313,0.210,
N02,Sample X314,0.218,
