Well,Content,Raw Data (600),
A01,Sample X1,1.445,
A02,Sample X2,1.448,
A03,Sample X3,0.174,
A04,Sample X4,0.193,
A05,Sample X5,0.189,
A06,Sample X6,0.168,
A07,Sample X7,0.191,
A08,Sample X8,0.201,
A09,Sample X9,0.181,
A10,Sample X10,0.188,
A11,Sample X11,0.181,
A12,Sample X12,0.184,
A13,Sample X13,0.190,
A14,Sample X14,0.188,
A15,Sample X15,0.171,
A16,Sample X16,0.245,
A17,Sample X17,0.204,
A18,Sample X18,0.173,
A19,Sample X19,0.190,
A20,Sample X20,0.196,
A21,Sample X21,0.219,
A22,Sample X22,0.175,
A23,Sample X23,1.388,
A24,Sample X24,1.371,
B01,Sample X25,1.415,
B02,Sample X26,1.395,
B03,Sample X27,0.181,
B04,Sample X28,0.152,
B05,Sample X29,0.146,
B06,Sample X30,0.163,
B07,Sample X31,0.194,
B08,Sample X32,0.173,
B09,Sample X33,0.196,
B10,Sample X34,0.187,
B11,Sample X35,0.205,
B12,Sample X36,0.173,
B13,Sample X37,0.192,
B14,Sample X38,0.180,
B15,Sample X39,0.203,
B16,Sample X40,0.163,
B17,Sample X41,0.174,
B18,Sample X42,0.183,
B19,Sample X43,0.171,
B20,Sample X44,0.162,
B21,Sample X45,0.167,
B22,Sample X46,0.172,
B23,Sample X47,1.373,
B24,Sample X48,1.574,
C01,Sample X49,1.379,
C02,Sample X50,1.384,
C03,Sample X51,0.133,
C04,Sample X52,0.196,
C05,Sample X53,0.140,
C06,Sample X54,0.158,
C07,Sample X55,0.182,
C08,Sample X56,0.170,
C09,Sample X57,0.173,
C10,Sample X58,0.141,
C11,Sample X59,0.177,
C12,Sample X60,0.168,
C13,Sample X61,0.152,
C14,Sample X62,0.152,
C15,Sample X63,0.155,
C16,Sample X64,0.166,
C17,Sample X65,0.168,
C18,Sample X66,0.146,
C19,Sample X67,0.177,
C20,Sample X68,0.138,
C21,Sample X69,0.145,
C22,Sample X70,0.148,
C23,Sample X71,1.344,
C24,Sample X72,1.448,
D01,Sample X73,1.415,
D02,Sample X74,1.245,
D03,Sample X75,0.149,
D04,Sample X76,0.157,
D05,Sample X77,0.169,
D06,Sample X78,0.141,
D07,Sample X79,0.172,
D08,Sample X80,0.166,
D09,Sample X81,0.228,
D10,Sample X82,0.157,
D11,Sample X83,0.160,
D12,Sample X84,0.149,
D13,Sample X85,0.151,
D14,Sample X86,0.157,
D15,Sample X87,0.159,
D16,Sample X88,0.160,
D17,Sample X89,0.207,
D18,Sample X90,0.166,
D19,Sample X91,0.143,
D20,Sample X92,0.158,
D21,Sample X93,0.168,
D22,Sample X94,0.177,
D23,Sample X95,1.268,
D24,Sample X96,1.371,
E01,Sample X97,1.445,
E02,Sample X98,1.237,
E03,Sample X99,0.177,
E04,Sample X100,0.237,
E05,Sample X101,0.167,
E06,Sample X102,0.165,
E07,Sample X103,0.171,
E08,Sample X104,0.155,
E09,Sample X105,0.149,
E10,Sample X106,0.169,
E11,Sample X107,0.159,
E12,Sample X108,0.157,
E13,Sample X109,0.151,
E14,Sample X110,0.171,
E15,Sample X111,0.169,
E16,Sample X112,0.156,
E17,Sample X113,0.166,
E18,Sample X114,0.162,
E19,Sample X115,0.148,
E20,Sample X116,0.155,
E21,Sample X117,0.167,
E22,Sample X118,0.156,
E23,Sample X119,1.309,
E24,Sample X120,1.444,
F01,Sample X121,1.405,
F02,Sample X122,1.326,
F03,Sample X123,0.159,
F04,Sample X124,0.186,
F05,Sample X125,0.168,
F06,Sample X126,0.160,
F07,Sample X127,0.158,
F08,Sample X128,0.181,
F09,Sample X129,0.167,
F10,Sample X130,0.144,
F11,Sample X131,0.150,
F12,Sample X132,0.148,
F13,Sample X133,0.161,
F14,Sample X134,0.175,
F15,Sample X135,0.161,
F16,Sample X136,0.162,
F17,Sample X137,0.167,
F18,Sample X138,0.162,
F19,Sample X139,0.151,
F20,Sample X140,0.170,
F21,Sample X141,0.175,
F22,Sample X142,0.153,
F23,Sample X143,1.296,
F24,Sample X144,1.382,
G01,Sample X145,1.720,
G02,Sample X146,1.407,
G03,Sample X147,0.170,
G04,Sample X148,0.182,
G05,Sample X149,0.159,
G06,Sample X150,0.194,
G07,Sample X151,0.160,
G08,Sample X152,0.167,
G09,Sample X153,0.140,
G10,Sample X154,0.137,
G11,Sample X155,0.142,
G12,Sample X156,0.149,
G13,Sample X157,0.129,
G14,Sample X158,0.143,
G15,Sample X159,0.092,
G16,Sample X160,0.156,
G17,Sample X161,0.152,
G18,Sample X162,0.155,
G19,Sample X163,0.162,
G20,Sample X164,0.163,
G21,Sample X165,0.156,
G22,Sample X166,0.150,
G23,Sample X167,1.334,
G24,Sample X168,1.380,
H01,Sample X169,1.511,
H02,Sample X170,1.323,
H03,Sample X171,0.164,
H04,Sample X172,0.166,
H05,Sample X173,0.161,
H06,Sample X174,0.162,
H07,Sample X175,0.169,
H08,Sample X176,0.170,
H09,Sample X177,0.173,
H10,Sample X178,0.167,
H11,Sample X179,0.154,
H12,Sample X180,0.166,
H13,Sample X181,0.148,
H14,Sample X182,0.170,
H15,Sample X183,0.161,
H16,Sample X184,0.187,
H17,Sample X185,0.159,
H18,Sample X186,0.155,
H19,Sample X187,0.141,
H20,Sample X188,0.144,
H21,Sample X189,0.155,
H22,Sample X190,0.155,
H23,Sample X191,1.333,
H24,Sample X192,1.410,
I01,Sample X193,1.446,
I02,Sample X194,1.420,
I03,Sample X195,0.171,
I04,Sample X196,0.155,
I05,Sample X197,0.160,
I06,Sample X198,0.146,
I07,Sample X199,0.137,
I08,Sample X200,0.151,
I09,Sample X201,0.135,
I10,Sample X202,0.149,
I11,Sample X203,0.144,
I12,Sample X204,0.151,
I13,Sample X205,0.154,
I14,Sample X206,0.150,
I15,Sample X207,0.150,
I16,Sample X208,0.157,
I17,Sample X209,0.161,
I18,Sample X210,0.155,
I19,Sample X211,0.142,
I20,Sample X212,0.152,
I21,Sample X213,0.155,
I22,Sample X214,0.143,
I23,Sample X215,0.667,
I24,Sample X216,1.350,
J01,Sample X217,1.407,
J02,Sample X218,1.366,
J03,Sample X219,0.146,
J04,Sample X220,0.149,
J05,Sample X221,0.162,
J06,Sample X222,0.166,
J07,Sample X223,0.155,
J08,Sample X224,0.158,
J09,Sample X225,0.171,
J10,Sample X226,0.165,
J11,Sample X227,0.153,
J12,Sample X228,0.173,
J13,Sample X229,0.149,
J14,Sample X230,0.156,
J15,Sample X231,0.177,
J16,Sample X232,0.172,
J17,Sample X233,0.154,
J18,Sample X234,0.159,
J19,Sample X235,0.159,
J20,Sample X236,0.165,
J21,Sample X237,0.158,
J22,Sample X238,0.159,
J23,Sample X239,1.473,
J24,Sample X240,1.400,
K01,Sample X241,1.591,
K02,Sample X242,1.389,
K03,Sample X243,0.143,
K04,Sample X244,0.141,
K05,Sample X245,0.154,
K06,Sample X246,0.159,
K07,Sample X247,0.148,
K08,Sample X248,0.152,
K09,Sample X249,0.149,
K10,Sample X250,0.158,
K11,Sample X251,0.147,
K12,Sample X252,0.142,
K13,Sample X253,0.149,
K14,Sample X254,0.147,
K15,Sample X255,0.146,
K16,Sample X256,0.158,
K17,Sample X257,0.152,
K18,Sample X258,0.170,
K19,Sample X259,0.144,
K20,Sample X260,0.157,
K21,Sample X261,0.156,
K22,Sample X262,0.160,
K23,Sample X263,1.368,
K24,Sample X264,1.362,
L01,Sample X265,1.482,
L02,Sample X266,1.323,
L03,Sample X267,0.158,
L04,Sample X268,0.151,
L05,Sample X269,0.155,
L06,Sample X270,0.149,
L07,Sample X271,0.160,
L08,Sample X272,0.161,
L09,Sample X273,0.168,
L10,Sample X274,0.154,
L11,Sample X275,0.161,
L12,Sample X276,0.150,
L13,Sample X277,0.157,
L14,Sample X278,0.164,
L15,Sample X279,0.185,
L16,Sample X280,0.158,
L17,Sample X281,0.153,
L18,Sample X282,0.164,
L19,Sample X283,0.160,
L20,Sample X284,0.151,
L21,Sample X285,0.166,
L22,Sample X286,0.147,
L23,Sample X287,1.005,
L24,Sample X288,1.514,
M01,Sample X289,1.581,
M02,Sample X290,1.810,
M03,Sample X291,0.152,
M04,Sample X292,0.150,
M05,Sample X293,0.140,
M06,Sample X294,0.158,
M07,Sample X295,0.170,
M08,Sample X296,0.161,
M09,Sample X297,0.155,
M10,Sample X298,0.152,
M11,Sample X299,0.149,
M12,Sample X300,0.148,
M13,Sample X301,0.131,
M14,Sample X302,0.214,
M15,Sample X303,0.152,
M16,Sample X304,0.138,
M17,Sample X305,0.153,
M18,Sample X306,0.137,
M19,Sample X307,0.153,
M20,Sample X308,0.150,
M21,Sample X309,0.176,
M22,Sample X310,0.140,
M23,Sample X311,0.548,
M24,Sample X312,1.054,
N01,Sample X313,1.405,
N02,Sample X314,1.391,
N03,Sample X315,0.185,
N04,Sample X316,0.156,
N05,Sample X317,0.150,
N06,Sample X318,0.148,
N07,Sample X319,0.158,
N08,Sample X320,0.165,
N09,Sample X321,0.181,
N10,Sample X322,0.151,
N11,Sample X323,0.162,
N12,Sample X324,0.156,
N13,Sample X325,0.143,
N14,Sample X326,0.153,
N15,Sample X327,0.145,
N16,Sample X328,0.152,
N17,Sample X329,0.157,
N18,Sample X330,0.155,
N19,Sample X331,0.162,
N20,Sample X332,0.132,
N21,Sample X333,0.151,
N22,Sample X334,0.157,
N23,Sample X335,1.296,
N24,Sample X336,1.421,
O01,Sample X337,1.492,
O02,Sample X338,1.022,
O03,Sample X339,0.178,
O04,Sample X340,0.149,
O05,Sample X341,0.165,
O06,Sample X342,0.161,
O07,Sample X343,0.148,
O08,Sample X344,0.148,
O09,Sample X345,0.185,
O10,Sample X346,0.156,
O11,Sample X347,0.160,
O12,Sample X348,0.150,
O13,Sample X349,0.145,
O14,Sample X350,0.158,
O15,Sample X351,0.201,
O16,Sample X352,0.164,
O17,Sample X353,0.159,
O18,Sample X354,0.165,
O19,Sample X355,0.169,
O20,Sample X356,0.162,
O21,Sample X357,0.160,
O22,Sample X358,0.154,
O23,Sample X359,1.323,
O24,Sample X360,1.325,
P01,Sample X361,1.458,
P02,Sample X362,1.403,
P03,Sample X363,0.186,
P04,Sample X364,0.192,
P05,Sample X365,0.172,
P06,Sample X366,0.171,
P07,Sample X367,0.203,
P08,Sample X368,0.196,
P09,Sample X369,0.210,
P10,Sample X370,0.199,
P11,Sample X371,0.192,
P12,Sample X372,0.192,
P13,Sample X373,0.185,
P14,Sample X374,0.196,
P15,Sample X375,0.176,
P16,Sample X376,0.189,
P17,Sample X377,0.181,
P18,Sample X378,0.201,
P19,Sample X379,0.210,
P20,Sample X380,0.164,
P21,Sample X381,0.180,
P22,Sample X382,0.178,
P23,Sample X383,1.354,
P24,Sample X384,1.393,
