Well,Content,Raw Data (600),
A01,Sample X1,1.730,
A02,Sample X2,1.779,
A03,Sample X3,0.230,
A04,Sample X4,0.257,
A05,Sample X5,0.253,
A06,Sample X6,0.221,
A07,Sample X7,0.252,
A08,Sample X8,0.267,
A09,Sample X9,0.250,
A10,Sample X10,0.251,
A11,Sample X11,0.246,
A12,Sample X12,0.242,
A13,Sample X13,0.252,
A14,Sample X14,0.250,
A15,Sample X15,0.224,
A16,Sample X16,0.323,
A17,Sample X17,0.268,
A18,Sample X18,0.240,
A19,Sample X19,0.254,
A20,Sample X20,0.259,
A21,Sample X21,0.294,
A22,Sample X22,0.236,
A23,Sample X23,1.728,
A24,Sample X24,1.710,
B01,Sample X25,1.764,
B02,Sample X26,1.750,
B03,Sample X27,0.245,
B04,Sample X28,0.204,
B05,Sample X29,0.196,
B06,Sample X30,0.219,
B07,Sample X31,0.270,
B08,Sample X32,0.230,
B09,Sample X33,0.254,
B10,Sample X34,0.257,
B11,Sample X35,0.290,
B12,Sample X36,0.234,
B13,Sample X37,0.261,
B14,Sample X38,0.246,
B15,Sample X39,0.275,
B16,Sample X40,0.213,
B17,Sample X41,0.238,
B18,Sample X42,0.249,
B19,Sample X43,0.233,
B20,Sample X44,0.216,
B21,Sample X45,0.224,
B22,Sample X46,0.240,
B23,Sample X47,1.697,
B24,Sample X48,1.909,
C01,Sample X49,1.704,
C02,Sample X50,1.954,
C03,Sample X51,0.181,
C04,Sample X52,0.270,
C05,Sample X53,0.194,
C06,Sample X54,0.214,
C07,Sample X55,0.250,
C08,Sample X56,0.229,
C09,Sample X57,0.228,
C10,Sample X58,0.190,
C11,Sample X59,0.248,
C12,Sample X60,0.223,
C13,Sample X61,0.206,
C14,Sample X62,0.205,
C15,Sample X63,0.209,
C16,Sample X64,0.216,
C17,Sample X65,0.239,
C18,Sample X66,0.196,
C19,Sample X67,0.237,
C20,Sample X68,0.190,
C21,Sample X69,0.198,
C22,Sample X70,0.199,
C23,Sample X71,1.708,
C24,Sample X72,1.194,
D01,Sample X73,1.591,
D02,Sample X74,1.753,
D03,Sample X75,0.207,
D04,Sample X76,0.211,
D05,Sample X77,0.233,
D06,Sample X78,0.189,
D07,Sample X79,0.233,
D08,Sample X80,0.221,
D09,Sample X81,0.289,
D10,Sample X82,0.209,
D11,Sample X83,0.222,
D12,Sample X84,0.201,
D13,Sample X85,0.204,
D14,Sample X86,0.215,
D15,Sample X87,0.216,
D16,Sample X88,0.214,
D17,Sample X89,0.264,
D18,Sample X90,0.222,
D19,Sample X91,0.195,
D20,Sample X92,0.209,
D21,Sample X93,0.223,
D22,Sample X94,0.240,
D23,Sample X95,1.658,
D24,Sample X96,1.734,
E01,Sample X97,1.782,
E02,Sample X98,0.646,
E03,Sample X99,0.242,
E04,Sample X100,0.326,
E05,Sample X101,0.224,
E06,Sample X102,0.216,
E07,Sample X103,0.235,
E08,Sample X104,0.210,
E09,Sample X105,0.198,
E10,Sample X106,0.224,
E11,Sample X107,0.212,
E12,Sample X108,0.208,
E13,Sample X109,0.205,
E14,Sample X110,0.224,
E15,Sample X111,0.232,
E16,Sample X112,0.210,
E17,Sample X113,0.223,
E18,Sample X114,0.216,
E19,Sample X115,0.207,
E20,Sample X116,0.208,
E21,Sample X117,0.221,
E22,Sample X118,0.209,
E23,Sample X119,1.683,
E24,Sample X120,1.783,
F01,Sample X121,1.758,
F02,Sample X122,1.018,
F03,Sample X123,0.220,
F04,Sample X124,0.249,
F05,Sample X125,0.231,
F06,Sample X126,0.215,
F07,Sample X127,0.213,
F08,Sample X128,0.241,
F09,Sample X129,0.225,
F10,Sample X130,0.192,
F11,Sample X131,0.195,
F12,Sample X132,0.198,
F13,Sample X133,0.214,
F14,Sample X134,0.237,
F15,Sample X135,0.213,
F16,Sample X136,0.217,
F17,Sample X137,0.226,
F18,Sample X138,0.217,
F19,Sample X139,0.198,
F20,Sample X140,0.225,
F21,Sample X141,0.236,
F22,Sample X142,0.200,
F23,Sample X143,1.669,
F24,Sample X144,1.746,
G01,Sample X145,2.161,
G02,Sample X146,1.209,
G03,Sample X147,0.238,
G04,Sample X148,0.246,
G05,Sample X149,0.216,
G06,Sample X150,0.262,
G07,Sample X151,0.214,
G08,Sample X152,0.221,
G09,Sample X153,0.180,
G10,Sample X154,0.183,
G11,Sample X155,0.186,
