Well,Content,Raw Data (600),
A01,Sample X1,0.837,
A02,Sample X2,0.819,
A03,Sample X3,0.141,
A04,Sample X4,0.156,
A05,Sample X5,0.150,
A06,Sample X6,0.135,
A07,Sample X7,0.153,
A08,Sample X8,0.159,
A09,Sample X9,0.149,
A10,Sample X10,0.148,
A11,Sample X11,0.147,
A12,Sample X12,0.153,
A13,Sample X13,0.156,
A14,Sample X14,0.151,
A15,Sample X15,0.136,
A16,Sample X16,0.190,
A17,Sample X17,0.168,
A18,Sample X18,0.140,
A19,Sample X19,0.153,
A20,Sample X20,0.156,
A21,Sample X21,0.172,
A22,Sample X22,0.143,
A23,Sample X23,0.783,
A24,Sample X24,0.787,
B01,Sample X25,0.799,
B02,Sample X26,0.756,
B03,Sample X27,0.143,
B04,Sample X28,0.123,
B05,Sample X29,0.121,
B06,Sample X30,0.132,
B07,Sample X31,0.155,
B08,Sample X32,0.141,
B09,Sample X33,0.166,
B10,Sample X34,0.150,
B11,Sample X35,0.164,
B12,Sample X36,0.138,
B13,Sample X37,0.154,
B14,Sample X38,0.145,
B15,Sample X39,0.159,
B16,Sample X40,0.130,
B17,Sample X41,0.139,
B18,Sample X42,0.149,
B19,Sample X43,0.138,
B20,Sample X44,0.132,
B21,Sample X45,0.137,
B22,Sample X46,0.138,
B23,Sample X47,0.863,
B24,Sample X48,0.348,
C01,Sample X49,0.792,
C02,Sample X50,0.745,
C03,Sample X51,0.108,
C04,Sample X52,0.154,
C05,Sample X53,0.115,
C06,Sample X54,0.130,
C07,Sample X55,0.143,
C08,Sample X56,0.136,
C09,Sample X57,0.143,
C10,Sample X58,0.117,
C11,Sample X59,0.144,
C12,Sample X60,0.138,
C13,Sample X61,0.123,
C14,Sample X62,0.125,
C15,Sample X63,0.127,
C16,Sample X64,0.134,
C17,Sample X65,0.135,
C18,Sample X66,0.120,
C19,Sample X67,0.141,
C20,Sample X68,0.115,
C21,Sample X69,0.122,
C22,Sample X70,0.124,
C23,Sample X71,0.717,
C24,Sample X72,0.726,
D01,Sample X73,0.758,
D02,Sample X74,0.640,
D03,Sample X75,0.122,
D04,Sample X76,0.127,
D05,Sample X77,0.136,
D06,Sample X78,0.115,
D07,Sample X79,0.140,
D08,Sample X80,0.137,
D09,Sample X81,0.193,
D10,Sample X82,0.130,
D11,Sample X83,0.130,
D12,Sample X84,0.122,
D13,Sample X85,0.124,
D14,Sample X86,0.130,
D15,Sample X87,0.129,
D16,Sample X88,0.130,
D17,Sample X89,0.176,
D18,Sample X90,0.135,
D19,Sample X91,0.116,
D20,Sample X92,0.124,
D21,Sample X93,0.133,
D22,Sample X94,0.142,
D23,Sample X95,0.674,
D24,Sample X96,0.766,
