Well,Content,Raw Data (600),
A01,Sample X1,1.697,
A02,Sample X2,1.729,
A03,Sample X3,0.216,
A04,Sample X4,0.243,
A05,Sample X5,0.238,
A06,Sample X6,0.210,
A07,Sample X7,0.234,
A08,Sample X8,0.252,
A09,Sample X9,0.232,
A10,Sample X10,0.239,
A11,Sample X11,0.228,
A12,Sample X12,0.224,
A13,Sample X13,0.240,
A14,Sample X14,0.229,
A15,Sample X15,0.213,
A16,Sample X16,0.319,
A17,Sample X17,0.238,
A18,Sample X18,0.222,
A19,Sample X19,0.246,
A20,Sample X20,0.252,
A21,Sample X21,0.279,
A22,Sample X22,0.226,
A23,Sample X23,1.694,
A24,Sample X24,1.652,
B01,Sample X25,1.703,
B02,Sample X26,1.690,
B03,Sample X27,0.232,
B04,Sample X28,0.192,
B05,Sample X29,0.186,
B06,Sample X30,0.207,
B07,Sample X31,0.253,
B08,Sample X32,0.216,
B09,Sample X33,0.241,
B10,Sample X34,0.244,
B11,Sample X35,0.269,
B12,Sample X36,0.224,
B13,Sample X37,0.249,
B14,Sample X38,0.233,
B15,Sample X39,0.258,
B16,Sample X40,0.204,
B17,Sample X41,0.221,
B18,Sample X42,0.235,
B19,Sample X43,0.220,
B20,Sample X44,0.209,
B21,Sample X45,0.215,
B22,Sample X46,0.224,
B23,Sample X47,1.638,
B24,Sample X48,1.976,
C01,Sample X49,1.665,
C02,Sample X50,1.902,
C03,Sample X51,0.169,
C04,Sample X52,0.252,
C05,Sample X53,0.179,
C06,Sample X54,0.201,
C07,Sample X55,0.235,
C08,Sample X56,0.214,
C09,Sample X57,0.214,
C10,Sample X58,0.178,
C11,Sample X59,0.231,
C12,Sample X60,0.210,
C13,Sample X61,0.193,
C14,Sample X62,0.193,
C15,Sample X63,0.198,
C16,Sample X64,0.207,
C17,Sample X65,0.218,
C18,Sample X66,0.185,
C19,Sample X67,0.223,
C20,Sample X68,0.180,
C21,Sample X69,0.187,
C22,Sample X70,0.187,
C23,Sample X71,1.678,
C24,Sample X72,1.379,
D01,Sample X73,1.554,
D02,Sample X74,1.695,
D03,Sample X75,0.193,
D04,Sample X76,0.196,
D05,Sample X77,0.220,
D06,Sample X78,0.179,
D07,Sample X79,0.218,
D08,Sample X80,0.208,
D09,Sample X81,0.275,
D10,Sample X82,0.197,
D11,Sample X83,0.210,
D12,Sample X84,0.189,
D13,Sample X85,0.193,
D14,Sample X86,0.201,
D15,Sample X87,0.204,
D16,Sample X88,0.202,
D17,Sample X89,0.253,
D18,Sample X90,0.209,
D19,Sample X91,0.181,
D20,Sample X92,0.196,
D21,Sample X93,0.212,
D22,Sample X94,0.225,
D23,Sample X95,1.599,
D24,Sample X96,1.677,
E01,Sample X97,1.762,
E02,Sample X98,0.741,
E03,Sample X99,0.229,
E04,Sample X100,0.309,
E05,Sample X101,0.214,
E06,Sample X102,0.204,
E07,Sample X103,0.219,
E08,Sample X104,0.198,
E09,Sample X105,0.187,
E10,Sample X106,0.212,
E11,Sample X107,0.199,
E12,Sample X108,0.197,
E13,Sample X109,0.198,
E14,Sample X110,0.214,
E15,Sample X111,0.215,
E16,Sample X112,0.199,
E17,Sample X113,0.210,
E18,Sample X114,0.205,
E19,Sample X115,0.194,
E20,Sample X116,0.197,
E21,Sample X117,0.208,
E22,Sample X118,0.196,
E23,Sample X119,1.633,
E24,Sample X120,1.727,
F01,Sample X121,1.697,
F02,Sample X122,1.168,
F03,Sample X123,0.207,
F04,Sample X124,0.235,
F05,Sample X125,0.218,
F06,Sample X126,0.203,
F07,Sample X127,0.202,
F08,Sample X128,0.226,
F09,Sample X129,0.212,
F10,Sample X130,0.183,
F11,Sample X131,0.187,
F12,Sample X132,0.189,
F13,Sample X133,0.205,
F14,Sample X134,0.225,
F15,Sample X135,0.201,
F16,Sample X136,0.203,
F17,Sample X137,0.214,
F18,Sample X138,0.204,
F19,Sample X139,0.188,
F20,Sample X140,0.213,
F21,Sample X141,0.221,
F22,Sample X142,0.187,
F23,Sample X143,1.605,
F24,Sample X144,1.694,
G01,Sample X145,2.117,
G02,Sample X146,1.283,
G03,Sample X147,0.220,
G04,Sample X148,0.231,
G05,Sample X149,0.202,
G06,Sample X150,0.244,
G07,Sample X151,0.203,
G08,Sample X152,0.206,
G09,Sample X153,0.171,
G10,Sample X154,0.172,
G11,Sample X155,0.174,
G12,Sample X156,0.190,
G13,Sample X157,0.160,
G14,Sample X158,0.179,
G15,Sample X159,0.108,
G16,Sample X160,0.197,
G17,Sample X161,0.190,
G18,Sample X162,0.195,
G19,Sample X163,0.200,
G20,Sample X164,0.204,
G21,Sample X165,0.197,
G22,Sample X166,0.186,
G23,Sample X167,1.648,
G24,Sample X168,1.689,
H01,Sample X169,1.874,
H02,Sample X170,1.715,
H03,Sample X171,0.210,
H04,Sample X172,0.215,
H05,Sample X173,0.209,
H06,Sample X174,0.208,
H07,Sample X175,0.214,
H08,Sample X176,0.216,
H09,Sample X177,0.217,
H10,Sample X178,0.215,
H11,Sample X179,0.191,
H12,Sample X180,0.208,
H13,Sample X181,0.187,
H14,Sample X182,0.222,
H15,Sample X183,0.293,
H16,Sample X184,0.240,
H17,Sample X185,0.203,
H18,Sample X186,0.194,
H19,Sample X187,0.181,
H20,Sample X188,0.177,
H21,Sample X189,0.200,
H22,Sample X190,0.196,
H23,Sample X191,1.655,
H24,Sample X192,1.700,
I01,Sample X193,1.708,
I02,Sample X194,1.716,
I03,Sample X195,0.218,
I04,Sample X196,0.196,
I05,Sample X197,0.204,
I06,Sample X198,0.184,
I07,Sample X199,0.172,
I08,Sample X200,0.187,
I09,Sample X201,0.167,
I10,Sample X202,0.189,
I11,Sample X203,0.179,
I12,Sample X204,0.190,
I13,Sample X205,0.194,
I14,Sample X206,0.188,
I15,Sample X207,0.187,
I16,Sample X208,0.200,
I17,Sample X209,0.204,
I18,Sample X210,0.196,
I19,Sample X211,0.179,
I20,Sample X212,0.189,
I21,Sample X213,0.195,
I22,Sample X214,0.181,
I23,Sample X215,1.032,
I24,Sample X216,1.648,
J01,Sample X217,1.678,
J02,Sample X218,1.676,
J03,Sample X219,0.183,
J04,Sample X220,0.194,
J05,Sample X221,0.206,
J06,Sample X222,0.210,
J07,Sample X223,0.194,
J08,Sample X224,0.197,
J09,Sample X225,0.218,
J10,Sample X226,0.214,
J11,Sample X227,0.195,
J12,Sample X228,0.216,
J13,Sample X229,0.188,
J14,Sample X230,0.198,
J15,Sample X231,0.223,
J16,Sample X232,0.216,
J17,Sample X233,0.197,
J18,Sample X234,0.200,
J19,Sample X235,0.198,
J20,Sample X236,0.205,
J21,Sample X237,0.201,
J22,Sample X238,0.202,
J23,Sample X239,1.753,
J24,Sample X240,1.683,
K01,Sample X241,1.857,
K02,Sample X242,1.519,
K03,Sample X243,0.180,
K04,Sample X244,0.176,
K05,Sample X245,0.195,
K06,Sample X246,0.201,
K07,Sample X247,0.182,
K08,Sample X248,0.189,
K09,Sample X249,0.185,
K10,Sample X250,0.201,
K11,Sample X251,0.186,
K12,Sample X252,0.177,
K13,Sample X253,0.189,
K14,Sample X254,0.189,
K15,Sample X255,0.184,
K16,Sample X256,0.197,
K17,Sample X257,0.193,
K18,Sample X258,0.214,
K19,Sample X259,0.182,
K20,Sample X260,0.195,
K21,Sample X261,0.199,
K22,Sample X262,0.205,
K23,Sample X263,1.686,
K24,Sample X264,1.604,
L01,Sample X265,1.711,
L02,Sample X266,1.587,
L03,Sample X267,0.204,
L04,Sample X268,0.195,
L05,Sample X269,0.198,
L06,Sample X270,0.187,
L07,Sample X271,0.197,
L08,Sample X272,0.201,
L09,Sample X273,0.214,
L10,Sample X274,0.193,
L11,Sample X275,0.202,
L12,Sample X276,0.192,
L13,Sample X277,0.199,
L14,Sample X278,0.208,
L15,Sample X279,0.239,
L16,Sample X280,0.195,
L17,Sample X281,0.190,
L18,Sample X282,0.209,
L19,Sample X283,0.199,
L20,Sample X284,0.190,
L21,Sample X285,0.209,
L22,Sample X286,0.192,
L23,Sample X287,0.631,
L24,Sample X288,1.635,
M01,Sample X289,1.506,
M02,Sample X290,1.940,
M03,Sample X291,0.193,
M04,Sample X292,0.192,
M05,Sample X293,0.177,
M06,Sample X294,0.204,
M07,Sample X295,0.217,
M08,Sample X296,0.203,
M09,Sample X297,0.197,
M10,Sample X298,0.191,
M11,Sample X299,0.189,
M12,Sample X300,0.188,
M13,Sample X301,0.158,
M14,Sample X302,0.253,
M15,Sample X303,0.189,
M16,Sample X304,0.174,
M17,Sample X305,0.194,
M18,Sample X306,0.173,
M19,Sample X307,0.195,
M20,Sample X308,0.186,
M21,Sample X309,0.226,
M22,Sample X310,0.176,
M23,Sample X311,0.653,
M24,Sample X312,1.268,
N01,Sample X313,1.685,
N02,Sample X314,1.693,
N03,Sample X315,0.237,
N04,Sample X316,0.200,
N05,Sample X317,0.192,
N06,Sample X318,0.186,
N07,Sample X319,0.205,
N08,Sample X320,0.212,
N09,Sample X321,0.225,
N10,Sample X322,0.187,
N11,Sample X323,0.205,
N12,Sample X324,0.197,
N13,Sample X325,0.183,
N14,Sample X326,0.193,
N15,Sample X327,0.184,
N16,Sample X328,0.192,
N17,Sample X329,0.198,
N18,Sample X330,0.197,
N19,Sample X331,0.207,
N20,Sample X332,0.165,
N21,Sample X333,0.193,
N22,Sample X334,0.200,
N23,Sample X335,1.635,
N24,Sample X336,1.666,
O01,Sample X337,1.752,
O02,Sample X338,1.471,
O03,Sample X339,0.225,
O04,Sample X340,0.189,
O05,Sample X341,0.217,
O06,Sample X342,0.205,
O07,Sample X343,0.189,
O08,Sample X344,0.193,
O09,Sample X345,0.222,
O10,Sample X346,0.197,
O11,Sample X347,0.204,
O12,Sample X348,0.190,
O13,Sample X349,0.183,
O14,Sample X350,0.197,
O15,Sample X351,0.261,
O16,Sample X352,0.210,
O17,Sample X353,0.204,
O18,Sample X354,0.213,
O19,Sample X355,0.212,
O20,Sample X356,0.207,
O21,Sample X357,0.206,
O22,Sample X358,0.194,
O23,Sample X359,1.658,
O24,Sample X360,1.638,
P01,Sample X361,1.744,
P02,Sample X362,1.655,
P03,Sample X363,0.227,
P04,Sample X364,0.246,
P05,Sample X365,0.224,
P06,Sample X366,0.221,
P07,Sample X367,0.249,
P08,Sample X368,0.249,
P09,Sample X369,0.256,
P10,Sample X370,0.255,
P11,Sample X371,0.246,
P12,Sample X372,0.239,
P13,Sample X373,0.230,
P14,Sample X374,0.245,
P15,Sample X375,0.216,
P16,Sample X376,0.243,
P17,Sample X377,0.226,
P18,Sample X378,0.248,
P19,Sample X379,0.265,
P20,Sample X380,0.211,
P21,Sample X381,0.223,
P22,Sample X382,0.230,
P23,Sample X383,1.682,
P24,Sample X384,1.680,
